# This file has been generated by fmt_fig1_params.py
#
# mod_growth: [Pa CO2] partial pressure of CO2 during growth
# mod_tpu: whether tpu was considered limiting or not
# vc_max: [µmol CO2.m-2.s-1]
# rd: [Pa]
# j_max: [µmol e-.m-2.s-1]
# tpu: [µmol CO2.m-2.s-1]
#
mod_growth;mod_tpu;vc_max;rd;j_max;tpu
35;lim;127.30;2.12;231.40;12.60
35;inf;127.30;2.12;192.20;
65;lim;138.70;1.07;228.60;11.51
65;inf;138.70;1.07;177.80;
