# This file has been generated by fmt_table1.py
#
# name: name of variable
# unit: [none]
# ca: [Pa CO2] partial pressure of CO2 during growth
# value: [unit]
#
name;unit;ca;value
kc_c;[-];35;35.79
kc_c;[-];65;35.79
kc_deltaha;[kJ.mol-1];35;80.47
kc_deltaha;[kJ.mol-1];65;80.47
ko_c;[-];35;9.59
ko_c;[-];65;9.59
ko_deltaha;[kJ.mol-1];35;14.51
ko_deltaha;[kJ.mol-1];65;14.51
tau_c;[-];35;-3.95
tau_c;[-];65;-3.95
tau_deltaha;[kJ.mol-1];35;-28.99
tau_deltaha;[kJ.mol-1];65;-28.99
rd;[µmol CO2.m-2.s-1];35;0.82
rd;[µmol CO2.m-2.s-1];65;0.82
vc_max_c;[-];35;51.07
vc_max_c;[-];65;49.46
vc_max_deltaha;[kJ.mol-1];35;116.30
vc_max_deltaha;[kJ.mol-1];65;112.40
vc_max_deltahd;[kJ.mol-1];35;202.90
vc_max_deltahd;[kJ.mol-1];65;201.70
vc_max_deltas;[kJ.K-1.mol-1];35;0.65
vc_max_deltas;[kJ.K-1.mol-1];65;0.65
j_max_c;[-];35;37.08
j_max_c;[-];65;32.88
j_max_deltaha;[kJ.mol-1];35;79.50
j_max_deltaha;[kJ.mol-1];65;69.10
j_max_deltahd;[kJ.mol-1];35;201.00
j_max_deltahd;[kJ.mol-1];65;201.10
j_max_deltas;[kJ.K-1.mol-1];35;0.65
j_max_deltas;[kJ.K-1.mol-1];65;0.65
tpu_c;[-];35;23.59
tpu_c;[-];65;23.59
tpu_deltaha;[kJ.mol-1];35;53.10
tpu_deltaha;[kJ.mol-1];65;53.10
tpu_deltahd;[kJ.mol-1];35;201.80
tpu_deltahd;[kJ.mol-1];65;201.60
tpu_deltas;[kJ.K-1.mol-1];35;0.65
tpu_deltas;[kJ.K-1.mol-1];65;0.65
alpha;[-];35;0.24
alpha;[-];65;0.24
g0;[mmol H2O.m-2.s-1];35;81.10
g0;[mmol H2O.m-2.s-1];65;72.80
gt;[mmol H2O.Pa CO2.µmol CO2-1];35;9.58
gt;[mmol H2O.Pa CO2.µmol CO2-1];65;8.92
