t,r,y,u
0.00000000,40.00000000,39.93750000,0.00000000
0.00000000,40.00000000,40.00000000,0.00000000
0.80000000,40.00000000,39.93750000,5.65284538
1.60000000,40.00000000,39.68750000,12.66827393
2.40000000,40.00000000,39.56250000,14.96503258
3.20000000,40.00000000,39.43750000,17.63473892
4.00000000,40.00000000,39.43750000,17.01162910
4.80000000,40.00000000,39.50000000,15.47509384
5.60000000,40.00000000,39.56250000,14.63072968
6.40000000,40.00000000,39.56250000,15.80952072
7.20000000,40.00000000,39.62500000,14.93134403
8.00000000,40.00000000,39.62500000,16.03849792
8.80000000,40.00000000,39.62500000,16.85595131
9.60000000,40.00000000,39.68750000,15.76571655
10.40000000,40.00000000,39.75000000,14.94134521
11.20000000,40.00000000,39.81250000,14.17384243
12.00000000,40.00000000,39.81250000,15.15706825
12.80000000,40.00000000,39.87500000,13.96653080
13.60000000,40.00000000,39.87500000,14.71127796
14.40000000,40.00000000,39.93750000,13.36137962
15.20000000,40.00000000,39.87500000,15.76413250
16.00000000,40.00000000,39.93750000,13.98418808
16.80000000,40.00000000,39.93750000,14.41907787
17.60000000,40.00000000,39.93750000,14.66267109
18.40000000,40.00000000,39.93750000,14.82424164
19.20000000,40.00000000,39.93750000,14.95064449
20.00000000,40.00000000,39.93750000,15.06196880
20.80000000,40.00000000,39.93750000,15.16682816
21.60000000,40.00000000,39.93750000,15.26891422
22.40000000,40.00000000,40.00000000,13.58633804
23.20000000,40.00000000,39.93750000,15.78932381
24.00000000,40.00000000,40.00000000,13.86659813
24.80000000,40.00000000,40.00000000,14.18314266
25.60000000,40.00000000,40.00000000,14.31886578
26.40000000,40.00000000,40.00000000,14.37705898
27.20000000,40.00000000,40.00000000,14.40200996
28.00000000,40.00000000,40.06250000,12.62923336
28.80000000,40.00000000,40.06250000,12.95294380
29.60000000,40.00000000,40.06250000,13.03461170
30.40000000,60.00000000,40.06250000,100.00000000
31.20000000,60.00000000,40.12500000,100.00000000
32.00000000,60.00000000,41.06250000,100.00000000
32.80000000,60.00000000,42.50000000,95.70050049
33.60000000,60.00000000,44.06250000,91.52891541
34.40000000,60.00000000,45.56250000,90.02698517
35.20000000,60.00000000,47.06250000,87.15781403
36.00000000,60.00000000,48.50000000,84.11492920
36.80000000,60.00000000,49.87500000,80.32624054
37.60000000,60.00000000,51.18750000,75.60360718
38.40000000,60.00000000,52.43750000,69.92346191
39.20000000,60.00000000,53.56250000,65.11629486
40.00000000,60.00000000,54.56250000,60.94026184
40.80000000,60.00000000,55.50000000,55.62246704
41.60000000,60.00000000,56.31250000,51.38427734
42.40000000,60.00000000,57.06250000,46.36798096
43.20000000,60.00000000,57.68750000,42.75855255
44.00000000,60.00000000,58.18750000,40.46617889
44.80000000,60.00000000,58.62500000,37.78311920
45.60000000,60.00000000,59.00000000,35.17520142
46.40000000,60.00000000,59.31250000,32.89925385
47.20000000,60.00000000,59.50000000,32.90604782
48.00000000,60.00000000,59.62500000,33.22183228
48.80000000,60.00000000,59.75000000,32.41489410
49.60000000,60.00000000,59.87500000,31.01236916
50.40000000,60.00000000,59.93750000,31.02368355
51.20000000,60.00000000,60.06250000,28.65962029
52.00000000,60.00000000,60.12500000,28.08731842
52.80000000,60.00000000,60.12500000,28.86860847
53.60000000,60.00000000,60.12500000,29.08934593
54.40000000,60.00000000,60.12500000,29.06973648
55.20000000,60.00000000,60.12500000,28.94707489
56.00000000,60.00000000,60.06250000,30.56370163
56.80000000,60.00000000,60.00000000,31.84229279
57.60000000,60.00000000,59.93750000,33.03302765
58.40000000,60.00000000,60.00000000,30.67625237
59.20000000,60.00000000,60.00000000,30.80670547
60.00000000,60.00000000,60.00000000,30.86263847
60.80000000,60.00000000,60.06250000,29.10314560
