# This file has been generated by fmt_fig3.py
#
#
# tree: [-] name of observed tree
# dm_harvest: [kg DM] total fruit dry weight
# leaf_area: [m2] tree leaf area
# nb_fruit: [#]
# nb_shoot: [#]
#
tree;dm_harvest;leaf_area;nb_fruit;nb_shoot
fuji_42;2.27;11.11;55.07;696.36
fuji_47;3.09;15.59;62.69;937.02
fuji_0;2.69;9.56;31.16;477.98
fuji_1;1.98;18.17;87.87;1231.16
fuji_2;2.66;15.75;54.49;813.72
fuji_3;3.79;21.73;87.64;1263.84
