# This file has been generated by fmt_table2.py
#
# tree: [-] name of observed tree
# crop_load: [# fruit.m-2]
# dm_fruit: [g DM] mean dry mass of single fruit
# dm_fruit_sd: [g DM] standard deviation dry mass of single fruit
#
tree;crop_load;dm_fruit;dm_fruit_sd
fuji_0;3.33;49.10;8.70
fuji_1;4.78;36.00;14.60
fuji_2;3.85;48.50;10.20
fuji_3;3.98;43.00;10.90
fuji_42;4.78;41.20;10.90
fuji_47;4.35;49.10;12.20
