# This file has been generated by fmt_table_s1.py
#
# name: name of variable
# unit: physical unit of variable
# value: [unit]
#
name;unit;value
p1;µmol CO2.m-2.s-1;2.172e+01
p2;µmol CO2.m-2.s-1;6.500e+01
p4;µmol CO2.µmol photon;7.000e-02
mrr_f;g C.g DM-1.s-1;5.300e-09
mrr_l;g C.g DM-1.s-1;3.200e-08
mrr_nl;g C.g DM-1.s-1;1.300e-07
mrr_s;g C.g DM-1.s-1;1.600e-08
mrr_ow;g C.g DM-1.s-1;3.900e-09
mrr_nr;g C.g DM-1.s-1;9.900e-09
mrr_or;g C.g DM-1.s-1;3.900e-09
q10_f;-;1.730e+00
q10_l;-;2.460e+00
q10_nl;-;2.340e+00
q10_s;-;2.340e+00
q10_ow;-;2.340e+00
q10_nr;-;3.100e+00
q10_or;-;2.340e+00
grc_f;g C.g DM-1;6.000e-02
grc_l;g C.g DM-1;1.010e-01
grc_nl;g C.g DM-1;8.200e-02
grc_s;g C.g DM-1;8.900e-02
grc_ow;g C.g DM-1;8.100e-02
grc_nr;g C.g DM-1;8.200e-02
grc_or;g C.g DM-1;8.100e-02
gr_f;g C.gdd-1;2.130e-02
rgr_s;gdd-1;1.940e-03
rgr_ow;gdd-1;6.000e-04
rgr_or;gdd-1;6.000e-04
rgr_i_nr;gdd-1;6.400e-03
rgr_i_ls_short;gdd-1;7.000e-02
rgr_i_ls_medium;gdd-1;7.000e-02
rgr_i_ls_long;gdd-1;7.000e-02
ddend_ls_short;gdd-1;4.800e+02
ddend_ls_medium;gdd-1;4.800e+02
ddend_ls_long;gdd-1;4.800e+02
sb_ls_short;g DM;2.500e+00
sb_ls_medium;g DM;6.000e+00
sb_ls_long;g DM;1.100e+01
cc_f;g C.g DM-1;4.000e-01
cc_l;g C.g DM-1;4.800e-01
cc_nl;g C.g DM-1;4.700e-01
cc_s;g C.g DM-1;4.700e-01
cc_ow;g C.g DM-1;4.700e-01
cc_nr;g C.g DM-1;4.800e-01
cc_or;g C.g DM-1;4.700e-01
r_l;-;7.100e-01
rm_f;-;0.000e+00
rm_ls;-;2.600e-02
rm_s;-;2.000e-02
rm_ow;-;2.000e-02
rm_nr;-;2.600e-02
rm_or;-;2.000e-02
alpha;-;3.500e-02
sr_eq;-;4.350e+00
slw;g DM.m-2;8.430e+01
dens;kg.m-3;4.000e+02
t_min;°C;7.000e+00
t_max;°C;3.500e+01
