# This file has been generated by fmt_fig9.py
#
#
# crop_load: [# fruit.m-2] crop load
# fruit_weight: [g DM] dry weight of individual fruit
# leaf_area: [m-2] overall leaf area
# par_intercept: [mol photon.fruit-1]amount of intercepted radiation throughout the growing season at the tree scale
# pn_eff: [g DM.mol photon-1] mean daily photosynthesis per leaf area unit
# reserve: [g.g-1] mean carbohydrate reserve content in leafy shoots
#
crop_load;fruit_weight;leaf_area;par_intercept;pn_eff;reserve
1.246;50.839;16.356;1900.197;0.178;0.025
2.101;50.559;16.114;1123.046;0.182;0.024
2.579;50.057;16.128;926.485;0.185;0.024
2.815;49.219;16.209;846.285;0.185;0.023
3.404;48.465;15.793;515.328;0.192;0.020
5.800;44.736;15.797;381.160;0.198;0.017
7.043;43.941;15.553;342.285;0.201;0.016
8.135;41.846;15.644;291.687;0.203;0.015
10.093;37.657;15.486;233.798;0.208;0.011
13.833;33.887;15.089;174.133;0.219;0.008
