# This file has been generated by fmt_weather_daily.py
#
# Location: Latitude  43.6097   Longitude 3.9793

# date: date of observation
# par: [W.m-2] average PAR
# rain: [mm] amount of precipitation
# rg: [W.m-2] average global amount of radiation
# rh: [-] relative humidity
# temp: [°C] temperature of atmosphere
# ws: [m.s-1] wind speed
#
date;par;rain;rg;rh;temp;temp_max;temp_min;ws
1999-01-01;11.00;10.19;21.53;92.31;10.20;11.73;8.98;4.18
1999-01-02;18.70;0.85;38.19;87.38;9.23;11.98;7.05;2.78
1999-01-03;27.40;0.75;57.64;85.19;9.37;12.87;6.82;3.09
1999-01-04;41.20;0.00;88.66;85.12;11.11;16.68;7.05;2.14
1999-01-05;22.20;0.06;45.72;94.12;10.30;13.51;7.14;2.95
1999-01-06;19.00;0.14;38.66;96.06;10.62;13.25;9.48;3.08
1999-01-07;37.50;0.02;81.60;87.19;11.10;14.99;8.99;1.62
1999-01-08;22.50;0.34;46.18;86.81;10.25;13.68;7.26;4.11
1999-01-09;31.30;6.03;67.25;80.38;7.77;10.71;5.20;2.63
1999-01-10;3.20;25.10;5.67;94.25;5.98;9.65;3.80;4.95
1999-01-11;35.10;1.08;75.93;80.69;2.19;4.40;-0.02;5.73
1999-01-12;35.80;0.00;76.85;70.69;1.77;5.28;-0.85;2.55
1999-01-13;40.10;0.13;87.38;80.38;4.02;8.29;1.55;3.58
1999-01-14;40.00;0.15;85.88;91.62;5.98;11.63;2.48;3.02
1999-01-15;47.20;0.00;105.09;77.44;5.13;10.51;1.22;2.38
1999-01-16;22.70;0.02;46.88;91.50;8.39;12.34;4.51;4.78
1999-01-17;26.40;10.66;54.05;90.44;10.92;12.86;8.52;5.58
1999-01-18;17.80;10.77;35.88;92.31;8.56;9.23;7.93;2.75
1999-01-19;43.10;0.00;94.91;78.62;9.28;13.83;5.96;1.30
1999-01-20;32.10;0.16;69.21;96.31;9.04;12.83;5.01;3.22
1999-01-21;21.70;0.14;45.25;95.19;10.58;12.90;8.73;3.48
1999-01-22;17.90;0.06;36.69;87.06;10.15;11.39;8.55;2.13
1999-01-23;39.90;0.12;86.69;86.81;8.63;10.83;7.06;1.66
1999-01-24;52.00;0.06;116.44;84.00;7.95;12.00;4.67;1.56
1999-01-25;53.50;0.03;119.56;83.06;8.15;13.26;3.90;1.85
1999-01-26;34.80;1.04;75.00;89.25;8.37;12.90;5.11;3.11
1999-01-27;38.20;1.60;82.41;76.00;7.65;11.08;4.93;5.80
1999-01-28;30.50;1.25;64.47;81.19;9.30;12.65;4.74;6.59
1999-01-29;50.80;0.41;111.92;68.69;8.15;11.58;3.69;6.40
1999-01-30;57.00;0.00;132.18;55.50;2.78;6.98;0.05;8.54
1999-01-31;57.30;0.00;129.63;63.31;0.76;4.84;-1.86;6.38
1999-02-01;58.10;0.00;134.14;65.25;0.57;5.23;-2.49;4.41
1999-02-02;54.10;0.00;119.79;75.62;4.01;10.10;0.34;3.59
1999-02-03;32.20;0.00;68.17;76.94;5.68;10.78;1.91;3.95
1999-02-04;48.80;0.00;106.94;77.81;7.15;13.67;3.03;4.59
1999-02-05;43.90;0.07;96.18;78.81;7.58;11.42;4.23;6.88
1999-02-06;38.40;0.17;83.22;73.38;7.44;10.70;5.33;6.36
1999-02-07;45.50;2.81;98.96;81.81;7.33;10.74;4.33;5.42
1999-02-08;56.60;1.69;126.27;73.69;5.59;8.79;0.50;4.92
1999-02-09;34.20;2.52;72.45;79.12;8.23;11.27;2.84;5.98
1999-02-10;63.20;0.10;145.95;63.75;2.74;5.30;0.94;7.31
1999-02-11;58.00;0.24;132.64;61.38;3.47;6.57;1.15;7.53
1999-02-12;68.50;0.00;156.71;55.00;2.12;6.83;-0.66;7.39
1999-02-13;66.70;0.00;153.01;60.06;0.27;4.74;-2.02;6.02
1999-02-14;70.90;0.00;161.00;69.88;1.55;7.99;-2.79;3.73
