id, storage_size, write_bandwidth, read_bandwidth, annual_failure_rate
0, 14000000, 208, 202, 0.97
1, 16000000, 209, 220, 0.80
2, 16000000, 168, 170, 0.31
3, 12000000, 193, 204, 1.80
4, 12000000, 190, 189, 0.64
5, 8000000, 164, 170, 1.84
6, 12000000, 110, 112, 0.90
7, 4000000, 112, 133, 2.60
8, 12000000, 197, 204, 1.18
9, 14000000, 281, 406, 1.35
