# This file has been generated by fmt_fig2.py
#
#
# hour: [-] time during the day
# ra: [W.m-2] long wave (thermal) radiation
# rg: [W.m-2] short wave (global) radiation
# ta: [°C] temperature of atmosphere
# tr: [°C] dew point temperature of atmosphere
# ws: [m.s-1] wind speed
#
hour;ra;rg;ta;tr;ws
0.00;297.10;0.00;12.34;12.34;0.35
0.17;297.39;0.00;12.35;12.35;0.35
0.33;297.69;0.00;12.36;12.36;0.36
0.50;297.98;0.00;12.37;12.37;0.36
0.67;298.28;0.00;12.38;12.38;0.37
0.83;298.58;0.00;12.38;12.38;0.38
1.00;298.87;0.00;12.39;12.39;0.39
1.17;299.17;0.00;12.40;12.40;0.41
1.33;299.45;0.00;12.41;12.41;0.42
1.50;299.74;0.00;12.42;12.42;0.44
1.67;300.03;0.00;12.43;12.43;0.45
1.83;300.31;0.00;12.44;12.44;0.47
2.00;300.58;0.00;12.45;12.45;0.49
2.17;300.84;0.00;12.46;12.46;0.51
2.33;301.11;0.00;12.47;12.47;0.52
2.50;301.35;0.00;12.48;12.48;0.56
2.67;301.60;0.00;12.49;12.49;0.61
2.83;301.84;0.00;12.50;12.50;0.67
3.00;302.05;0.00;12.51;12.51;0.74
3.17;302.25;0.00;12.52;12.52;0.82
3.33;302.45;0.00;12.53;12.53;0.91
3.50;302.62;0.00;12.54;12.54;1.00
3.67;302.78;0.00;12.55;12.55;1.10
3.83;302.93;0.00;12.56;12.56;1.20
4.00;303.05;0.00;12.57;12.57;1.31
4.17;303.16;0.00;12.58;12.58;1.42
4.33;303.26;0.00;12.59;12.59;1.53
4.50;303.33;1.22;12.60;12.60;1.64
4.67;303.37;14.27;12.71;12.61;1.75
4.83;303.42;35.54;12.87;12.62;1.87
5.00;303.43;60.08;13.02;12.64;1.98
5.17;303.42;86.37;13.18;12.65;2.10
5.33;303.41;113.60;13.33;12.66;2.22
5.50;303.37;141.39;13.48;12.69;2.34
5.67;303.30;169.48;13.63;12.71;2.46
5.83;303.23;197.67;13.77;12.73;2.57
6.00;303.16;225.86;13.92;12.76;2.69
6.17;303.04;253.92;14.07;12.79;2.81
6.33;302.91;281.81;14.22;12.82;2.93
6.50;302.79;309.43;14.37;12.85;3.04
6.67;302.65;336.78;14.53;12.88;3.14
6.83;302.47;363.79;14.68;12.92;3.24
7.00;302.30;390.39;14.83;12.96;3.30
7.17;302.12;416.60;14.99;13.00;3.34
7.33;301.93;442.39;15.14;13.04;3.36
7.50;301.71;467.71;15.30;13.09;3.37
7.67;301.49;492.50;15.46;13.14;3.37
7.83;301.28;516.79;15.62;13.18;3.37
8.00;301.05;540.55;15.79;13.23;3.37
8.17;300.79;563.76;15.95;13.28;3.36
8.33;300.54;586.39;16.12;13.34;3.36
8.50;300.28;608.42;16.29;13.39;3.35
8.67;300.03;629.77;16.47;13.44;3.34
8.83;299.75;650.48;16.65;13.50;3.32
9.00;299.46;670.52;16.83;13.55;3.31
9.17;299.18;689.87;17.00;13.61;3.29
9.33;298.89;708.50;17.18;13.67;3.28
9.50;298.61;726.40;17.36;13.72;3.26
9.67;298.25;743.53;17.53;13.78;3.25
9.83;297.88;759.88;17.70;13.84;3.23
10.00;297.51;775.41;17.86;13.90;3.21
10.17;297.05;790.10;18.03;13.96;3.19
10.33;296.59;803.92;18.19;14.01;3.18
10.50;296.12;816.84;18.34;14.07;3.16
10.67;295.58;828.83;18.49;14.13;3.14
10.83;295.04;839.86;18.64;14.18;3.12
11.00;294.50;849.89;18.79;14.24;3.10
11.17;293.92;858.89;18.92;14.29;3.08
11.33;293.32;866.83;19.06;14.34;3.06
11.50;292.73;873.66;19.19;14.40;3.05
11.67;292.12;879.34;19.31;14.44;3.03
11.83;291.48;883.83;19.43;14.49;3.02
12.00;290.85;887.07;19.54;14.54;3.00
12.17;290.21;888.99;19.65;14.58;2.99
12.33;289.55;889.57;19.75;14.62;2.98
12.50;288.89;888.70;19.84;14.66;2.98
12.67;288.23;886.39;19.93;14.69;2.98
12.83;287.57;882.69;20.01;14.72;2.98
13.00;286.89;877.65;20.08;14.75;2.99
13.17;286.22;871.30;20.14;14.78;2.99
13.33;285.54;863.68;20.20;14.80;3.00
13.50;284.86;854.84;20.25;14.82;3.01
13.67;284.18;844.81;20.28;14.83;3.02
13.83;283.50;833.62;20.31;14.84;3.03
14.00;282.83;821.30;20.33;14.85;3.04
14.17;282.15;807.90;20.34;14.85;3.05
14.33;281.48;793.37;20.33;14.85;3.07
14.50;280.81;777.79;20.32;14.84;3.08
14.67;280.15;761.20;20.29;14.82;3.09
14.83;279.50;743.65;20.26;14.80;3.10
15.00;278.84;725.16;20.21;14.77;3.11
15.17;278.20;705.75;20.16;14.74;3.12
15.33;277.58;685.45;20.10;14.70;3.14
15.50;276.96;664.27;20.02;14.66;3.15
15.67;276.34;642.17;19.93;14.61;3.16
15.83;275.76;619.27;19.83;14.55;3.17
16.00;275.18;595.59;19.72;14.49;3.18
16.17;274.61;571.17;19.59;14.41;3.19
16.33;274.08;545.96;19.45;14.33;3.20
16.50;273.57;520.00;19.29;14.22;3.20
16.67;273.06;493.38;19.11;14.11;3.21
16.83;272.63;466.12;18.92;13.98;3.21
17.00;272.20;438.16;18.70;13.83;3.21
17.17;271.79;409.64;18.46;13.67;3.21
17.33;271.49;380.56;18.20;13.49;3.20
17.50;271.20;350.93;17.91;13.30;3.17
17.67;270.99;320.86;17.59;13.10;3.13
17.83;270.87;290.33;17.25;12.89;3.08
18.00;270.80;259.47;16.88;12.71;3.02
18.17;270.87;228.33;16.47;12.63;2.95
18.33;270.98;197.03;16.04;12.58;2.86
18.50;271.21;165.69;15.58;12.52;2.77
18.67;271.51;134.51;15.13;12.49;2.67
18.83;271.91;103.77;14.76;12.45;2.56
19.00;272.45;73.89;14.44;12.42;2.44
19.17;273.10;45.59;14.17;12.40;2.31
19.33;273.88;20.39;13.92;12.37;2.17
19.50;274.87;2.30;13.70;12.35;2.03
19.67;276.04;0.00;13.49;12.34;1.88
19.83;277.45;0.00;13.31;12.33;1.73
20.00;279.11;0.00;13.13;12.31;1.58
20.17;281.15;0.00;12.98;12.30;1.42
20.33;283.53;0.00;12.84;12.29;1.26
20.50;286.13;0.00;12.71;12.29;1.11
20.67;287.90;0.00;12.61;12.28;0.96
20.83;288.76;0.00;12.52;12.28;0.82
21.00;289.42;0.00;12.45;12.28;0.69
21.17;290.00;0.00;12.40;12.27;0.57
21.33;290.54;0.00;12.35;12.27;0.48
21.50;291.04;0.00;12.32;12.27;0.42
21.67;291.52;0.00;12.30;12.27;0.38
21.83;291.99;0.00;12.28;12.28;0.34
22.00;292.46;0.00;12.27;12.28;0.31
22.17;292.92;0.00;12.27;12.28;0.30
22.33;293.38;0.00;12.27;12.29;0.29
22.50;293.85;0.00;12.27;12.29;0.30
22.67;294.33;0.00;12.28;12.29;0.32
22.83;294.82;0.00;12.29;12.30;0.34
23.00;295.31;0.00;12.29;12.30;0.35
23.17;295.84;0.00;12.30;12.31;0.36
23.33;296.38;0.00;12.31;12.32;0.37
23.50;296.95;0.00;12.32;12.32;0.37
23.67;297.56;0.00;12.33;12.33;0.37
23.83;298.23;0.00;12.33;12.34;0.37
