# This file has been generated by fmt_table2.py
#
# name: name of variable
# unit: [none]
# value: [unit]
#
name;unit;value
lai;[m.m-1];3.00e+00
h_c;[m];8.00e-01
z_root;[m];1.00e+00
r_root;[m];1.00e-04
chi_v;[MPa.s.m-1];1.00e+07
d_l;[m];1.00e-02
l_c;[m];2.00e-01
g0;[mol CO2.m-2.s-1];3.00e-04
a;[-];2.00e+00
