# This file has been generated by fmt_table1.py
#
# texture: name of soil type
# name: name of variable
# unit: [none]
# value: [unit]
#
texture;name;unit;value
sandy_loam;b;[-];3.310e+00
sandy_loam;theta_sat;[m3.m-3];4.000e-01
sandy_loam;psi_e;[MPa];-9.100e-04
sandy_loam;k_sat;[s-1.MPa-1.m2];9.576e-04
silt_loam;b;[-];4.380e+00
silt_loam;theta_sat;[m3.m-3];4.000e-01
silt_loam;psi_e;[MPa];-1.580e-03
silt_loam;k_sat;[s-1.MPa-1.m2];2.178e-04
loam;b;[-];6.580e+00
loam;theta_sat;[m3.m-3];4.000e-01
loam;psi_e;[MPa];-1.880e-03
loam;k_sat;[s-1.MPa-1.m2];2.286e-04
