# This file has been generated by fmt_fig10.py
#
#
# vine: id of plant measured
# crop_load: [cm2.g-1] leaf / fruit ratio
# brix: [°brix] soluble solids concentration
#
vine;crop_load;brix
1;8.26;19.81
2;8.22;19.19
3;5.16;15.69
4;5.85;17.71
