# This file has been generated by fmt_fig9.py
#
#
# vine: id of plant measured
# leaf_area: [m2] leaf area after defoliation
# sva: [µmol CO2.m-2.s-1] specific vine assimilation
# tva: [µmol CO2.plant-1.s-1] total vine assimilation
#
vine;leaf_area;sva;tva
1;6.47;5.33;40.04
1;7.41;5.40;46.73
1;8.84;5.75;58.93
2;4.53;6.95;35.60
2;5.08;5.30;31.16
2;5.84;7.47;50.70
3;7.74;5.16;39.13
3;8.99;5.04;45.00
3;10.57;6.06;63.51
4;6.63;4.47;34.26
4;7.41;4.65;40.03
4;8.76;5.60;57.39
