# This file has been generated by fmt_fig3.py
#
#
# an: [µmol CO2.m-2.s-1] net photosynthesis
# ppfd: [µmol photon.m-2.s-1] irradiance
#
scale;an;ppfd
single_leaf;-0.03;20.98
single_leaf;-0.06;27.90
single_leaf;0.90;43.69
single_leaf;0.89;55.88
single_leaf;2.69;90.51
single_leaf;2.26;112.94
single_leaf;4.97;180.53
single_leaf;4.52;190.50
single_leaf;8.16;360.85
single_leaf;6.78;369.99
single_leaf;9.97;669.42
single_leaf;11.37;689.92
single_leaf;11.76;1176.88
single_leaf;13.18;1178.26
single_leaf;12.66;1970.19
single_leaf;14.12;1971.30
natural_bc;-0.54;42.31
natural_bc;-0.33;44.52
natural_bc;-0.36;71.67
natural_bc;0.09;74.44
natural_bc;-0.21;79.98
natural_bc;0.42;112.11
natural_bc;0.51;123.19
natural_bc;1.41;211.83
natural_bc;1.55;214.60
natural_bc;2.69;298.81
natural_bc;2.21;299.91
natural_bc;3.62;491.59
natural_bc;3.62;517.63
natural_bc;3.98;519.29
natural_bc;4.75;767.48
natural_bc;5.34;775.24
natural_bc;5.00;780.22
natural_bc;6.17;942.54
natural_bc;6.30;1206.79
natural_bc;6.56;1208.46
natural_bc;6.19;1239.48
restricted_bc;0.87;72.78
restricted_bc;0.61;122.36
restricted_bc;1.01;227.89
restricted_bc;1.69;313.21
restricted_bc;2.00;343.68
restricted_bc;3.16;548.10
restricted_bc;3.04;561.12
restricted_bc;3.95;855.84
restricted_bc;4.00;884.37
restricted_bc;4.72;1354.71
restricted_bc;4.80;1372.16
restricted_bc;4.64;1432.13
