# This file has been generated by fmt_table2.py
#
# vine: id of plant
# treatment: description of leaf removal
# date: date of removal
# leaf_area: [m2] leaf area after defoliation
# la_removed: [m2] amount removed since beginning
# la_removed_frac: [%] amount removed as fraction of pristine vine
# crop_load: [cm2.g-1] leaf / fruit ratio
#
vine;treatment;date;leaf_area;la_removed;la_removed_frac;crop_load;yield
1;not defoliated;1996-08-01;8.82;0.00;0.00;11.31;7.80
1;1st leaf removal;1996-08-12;7.38;1.44;16.30;9.46;7.80
1;2nd leaf removal;1996-08-19;6.46;2.36;26.80;8.28;7.80
2;not defoliated;1996-08-01;5.83;0.00;0.00;10.60;5.50
2;1st leaf removal;1996-08-12;5.09;0.74;12.70;9.25;5.50
2;2nd leaf removal;1996-08-19;4.53;1.30;22.30;8.24;5.50
3;not defoliated;1996-08-01;10.56;0.00;0.00;7.09;14.90
3;1st leaf removal;1996-08-12;8.99;1.57;14.90;6.03;14.90
3;2nd leaf removal;1996-08-19;7.71;2.86;27.10;5.17;14.90
4;not defoliated;1996-08-01;8.75;0.00;0.00;7.74;11.30
4;1st leaf removal;1996-08-12;7.40;1.35;15.40;6.55;11.30
4;2nd leaf removal;1996-08-19;6.62;2.13;24.30;5.86;11.30
