# This file has been generated by fmt_fig8.py
#
#
# day: day of august 1996
# sva: [%] specific vine assimilation as percent of before leaf removal
# tva: [%] total vine assimilation as percent of before leaf removal
#
day;sva;tva
1;91.39;79.98
1;94.82;98.70
1;113.55;100.67
1;;117.42
3;84.24;93.98
3;91.01;96.26
3;104.17;107.67
3;132.70;112.08
9;80.59;90.17
9;87.44;100.22
9;94.59;102.80
9;127.60;
13;72.07;59.44
13;77.09;69.48
13;87.89;79.07
13;96.41;
13;83.63;
14;68.57;50.77
14;76.94;76.18
14;89.72;79.52
16;71.46;51.38
16;76.33;68.57
16;84.09;78.31
16;91.39;82.42
20;81.20;65.22
20;98.39;75.57
20;119.39;77.09
21;63.24;52.90
21;66.29;57.46
21;76.79;60.05
21;111.93;
