# This file has been generated by fmt_fig10.py
#
#
# vine: id of plant measured
# tva_yield: [nmol CO2.s-1.g-1] tva / yield ratio
# brix: [°brix] soluble solids concentration
#
vine;tva_yield;brix
1;4.49;19.73
1;5.72;19.79
2;6.50;19.12
2;6.93;19.17
3;2.32;15.67
3;2.93;15.63
4;2.73;17.67
4;3.32;17.67
