,jas,con,cell,m,max_ind,max_f,vel_ind,vel_z,indent_a,indent_b,indent_c,indent_R2,Hertzian_E,Hertzian_R2,dwell_c,dwell_tau1,dwell_tau2,dwell_tauMax,dwell_tauMin,dwell_yf,dwell_R2,eq_diameter,ave_diameter,perimeter,area,circularity,aspect_ratio,taylor_ratio,eccentricity
0,Y,050,37,0000,3.7256425002851756e-06,4.977379508552815e-09,3.3509333579028373e-06,3.567884349325419e-06,0.8871053856313826,4.149660130269588,0.12947754913893142,0.9993185807938468,89.32393768760281,0.8089754912694167,0.37753829305110187,3.7292756584026017,0.308412032589369,3.7292756584026017,0.308412032589369,1.515578184370343e-09,0.998695518299122,34.23473383756207,34.357534408569336,113.982754945755,920.5,0.8903389184925892,1.1107674521776363,0.05247733570240517,0.3157871912242199
1,Y,050,38,0000,2.392384431004757e-06,5.01445307499182e-09,3.1598927893743653e-06,3.525964628684086e-06,0.6887391991544596,1.8981543606693658,0.27656863021623335,0.9988487275343609,591.4184661439488,0.997931852636011,0.3422482373685444,4.447910435993851,0.29606048432505727,4.447910435993851,0.29606048432505727,7.473717612761236e-10,0.9986516896250068,33.691142072233134,33.70727348327637,111.98275530338287,891.5,0.893364958382659,1.039922403084946,0.01957054985256887,0.1959331273631843
2,Y,050,39,0000,1.8035152606898919e-06,5.017674609142375e-09,3.0067213930666724e-06,3.462236710408398e-06,0.6750597554538373,2.2832182464604585,0.29440561934213505,0.9964755244360214,767.0375176184768,0.9871698032222636,0.35761237341861013,4.6187922466548486,0.3137104243127441,4.6187922466548486,0.3137104243127441,1.1060391715286058e-09,0.9987758064363749,35.97565839874641,36.10510444641113,120.32590079307556,1016.5,0.8822649043943843,1.0315343039966103,0.015522407834597402,0.17484361910707272
3,Y,050,40,0000,4.178017320555227e-06,5.043973683171998e-09,3.36607918918096e-06,3.572440360916267e-06,0.9018468832344159,3.3715418991308796,0.10066551523029967,0.9996080607708695,78.5058985007787,0.7537142609334133,0.3589039941783113,4.604150398233554,0.320657199850189,4.604150398233554,0.320657199850189,1.5017623810527117e-09,0.9989997018379314,37.77964438223469,38.0446662902832,125.05382287502289,1121.0,0.9007858002445646,1.0357599765584646,0.017565910014066724,0.18580998579835098
4,Y,050,42,0000,3.283879777882248e-06,5.083672482975032e-09,3.271635519794782e-06,3.5425016575771076e-06,0.7453244041113667,2.9428440027544855,0.2741802975197645,0.9968260289187029,299.30705772219545,0.7459787014094612,0.44342000338024645,1.0298428758266938,0.04763611167572301,1.0298428758266938,0.04763611167572301,-1.31612566869888e-09,0.9469146478762552,36.05520177692258,36.98173904418945,117.96694040298462,1021.0,0.9219661468916593,1.2008790538700584,0.09127219122596934,0.40899471131718085
