# This file has been generated by fmt_table3.py
#
# pheno: Phenological stage
# pos: Position of measured leaves in the canopy
# name: name of variable
# tol: [µmol.m-2.s-1] +- confidence interval (at P = 0.05)
# value: [µmol.m-2.s-1]
#
pheno;pos;name;tol;value
bloom;outer;vc_max;23.00;89.00
bunch closure;outer;vc_max;9.00;80.00
veraison;outer;vc_max;11.00;65.00
mi-maturity;outer;vc_max;10.00;65.00
maturity;outer;vc_max;6.00;50.00
bloom;outer;j_max;41.00;143.00
bunch closure;outer;j_max;18.00;150.00
veraison;outer;j_max;23.00;127.00
mi-maturity;outer;j_max;10.00;148.00
maturity;outer;j_max;11.00;91.00
bloom;outer;tpu;3.00;10.00
bunch closure;outer;tpu;1.70;11.00
veraison;outer;tpu;2.10;10.00
mi-maturity;outer;tpu;0.70;11.00
maturity;outer;tpu;1.10;7.00
bloom;outer;rd;0.20;0.71
bunch closure;outer;rd;0.50;1.09
veraison;outer;rd;0.60;0.90
mi-maturity;outer;rd;0.30;0.73
maturity;outer;rd;0.10;0.52
bloom;inner;vc_max;13.00;64.00
bunch closure;inner;vc_max;6.00;33.00
veraison;inner;vc_max;3.00;28.00
mi-maturity;inner;vc_max;11.00;32.00
maturity;inner;vc_max;7.00;27.00
bloom;inner;j_max;16.00;108.00
bunch closure;inner;j_max;16.00;69.00
veraison;inner;j_max;9.00;61.00
mi-maturity;inner;j_max;21.00;55.00
maturity;inner;j_max;8.00;53.00
bloom;inner;tpu;1.40;7.00
bunch closure;inner;tpu;1.30;5.00
veraison;inner;tpu;0.70;4.00
mi-maturity;inner;tpu;1.50;4.00
maturity;inner;tpu;0.40;4.00
bloom;inner;rd;0.04;0.41
bunch closure;inner;rd;0.13;0.51
veraison;inner;rd;0.20;0.64
mi-maturity;inner;rd;0.08;0.48
maturity;inner;rd;0.07;0.50
