# This file has been generated by fmt_fig8.py
#
# date: datetime (standard local time)
# an: [µmol CO2.m-2.s-1] carbon assimilation
# ppfd: [µmol photon.m-2.s-1] PAR energy
# temp: [°C] leaf temperature
# transpi: [mmol H20.m-2.s-1] transpiration
# vpd: [kPa] vapor pressure deficit
#
date;an;ppfd;temp;transpi;vpd
2009-08-07 00:00:00;-1.27;-1.81;20.07;0.02;0.81
2009-08-07 00:05:00;-1.23;-1.85;20.07;0.02;0.81
2009-08-07 00:10:00;-1.18;-1.90;20.05;0.02;0.84
2009-08-07 00:15:00;-1.13;-1.95;20.04;0.02;0.92
2009-08-07 00:20:00;-1.09;-2.00;20.03;0.02;0.94
2009-08-07 00:25:00;-1.04;-2.05;20.01;0.02;0.94
2009-08-07 00:30:00;-0.99;-2.10;20.00;0.02;0.95
2009-08-07 00:35:00;-0.94;-2.16;19.99;0.02;0.95
2009-08-07 00:40:00;-0.90;-2.21;19.97;0.02;0.96
2009-08-07 00:45:00;-0.86;-2.26;20.21;0.02;0.96
2009-08-07 00:50:00;-0.93;-2.31;20.48;0.02;0.97
2009-08-07 00:55:00;-1.01;-2.36;20.75;0.02;0.97
2009-08-07 01:00:00;-1.08;-2.41;21.02;0.02;0.97
2009-08-07 01:05:00;-1.15;-2.46;21.29;0.02;0.99
2009-08-07 01:10:00;-1.09;-2.51;21.32;0.02;1.01
2009-08-07 01:15:00;-1.02;-2.56;21.28;0.02;1.02
2009-08-07 01:20:00;-0.94;-2.62;21.25;0.02;1.02
2009-08-07 01:25:00;-0.87;-2.67;21.21;0.02;0.99
2009-08-07 01:30:00;-0.80;-2.72;21.15;0.02;0.95
2009-08-07 01:35:00;-0.79;-2.77;21.02;0.02;0.92
2009-08-07 01:40:00;-0.85;-2.82;20.89;0.02;0.88
2009-08-07 01:45:00;-0.90;-2.87;20.76;0.02;0.86
2009-08-07 01:50:00;-0.95;-2.92;20.63;0.02;0.84
2009-08-07 01:55:00;-1.00;-2.97;20.50;0.02;0.83
2009-08-07 02:00:00;-0.81;-3.02;20.37;0.02;0.82
2009-08-07 02:05:00;-0.62;-3.08;20.24;0.02;0.80
2009-08-07 02:10:00;-0.43;-3.13;20.11;0.02;0.79
2009-08-07 02:15:00;-0.25;-3.18;19.99;0.02;0.78
2009-08-07 02:20:00;-0.26;-3.23;19.86;0.02;0.77
2009-08-07 02:25:00;-0.30;-3.28;19.73;0.02;0.75
2009-08-07 02:30:00;-0.34;-3.33;19.60;0.02;0.74
2009-08-07 02:35:00;-0.39;-3.38;19.47;0.02;0.73
2009-08-07 02:40:00;-0.43;-3.43;19.34;0.02;0.71
2009-08-07 02:45:00;-0.47;-3.49;19.21;0.02;0.70
2009-08-07 02:50:00;-0.52;-3.54;19.08;0.02;0.69
2009-08-07 02:55:00;-0.56;-3.59;18.95;0.02;0.68
2009-08-07 03:00:00;-0.60;-3.64;18.82;0.02;0.66
2009-08-07 03:05:00;-0.64;-3.69;18.70;0.02;0.65
2009-08-07 03:10:00;-0.67;-3.74;18.57;0.02;0.64
2009-08-07 03:15:00;-0.67;-3.79;18.46;0.02;0.63
2009-08-07 03:20:00;-0.67;-3.84;18.42;0.02;0.62
2009-08-07 03:25:00;-0.66;-3.89;18.39;0.02;0.61
2009-08-07 03:30:00;-0.66;-3.95;18.36;0.02;0.59
2009-08-07 03:35:00;-0.66;-4.00;18.32;0.02;0.60
2009-08-07 03:40:00;-0.66;-4.05;18.29;0.02;0.61
2009-08-07 03:45:00;-0.65;-4.10;18.26;0.02;0.61
2009-08-07 03:50:00;-0.65;-4.15;18.22;0.02;0.58
2009-08-07 03:55:00;-0.65;-4.20;18.19;0.02;0.56
2009-08-07 04:00:00;-0.65;-4.25;18.16;0.02;0.56
2009-08-07 04:05:00;-0.64;-4.30;18.12;0.02;0.56
2009-08-07 04:10:00;-0.64;-4.35;18.09;0.02;0.57
2009-08-07 04:15:00;-0.64;-4.41;18.06;0.02;0.57
2009-08-07 04:20:00;-0.64;-4.46;18.02;0.02;0.56
2009-08-07 04:25:00;-0.63;-4.51;17.99;0.02;0.54
2009-08-07 04:30:00;-0.63;-4.56;17.86;0.02;0.51
2009-08-07 04:35:00;-0.63;-4.61;17.62;0.02;0.49
2009-08-07 04:40:00;-0.62;-4.66;17.38;0.02;0.46
2009-08-07 04:45:00;-0.62;-4.71;17.15;0.02;0.45
2009-08-07 04:50:00;-0.62;-4.76;16.97;0.02;0.45
2009-08-07 04:55:00;-0.62;-4.82;16.90;0.02;0.45
2009-08-07 05:00:00;-0.61;-4.87;16.84;0.02;0.44
2009-08-07 05:05:00;-0.48;-4.92;16.77;0.02;0.43
2009-08-07 05:10:00;-0.25;-4.97;16.71;0.02;0.42
2009-08-07 05:15:00;-0.05;-5.02;16.64;0.02;0.42
2009-08-07 05:20:00;-0.23;-5.07;16.58;0.02;0.41
2009-08-07 05:25:00;-0.41;-5.12;16.52;0.02;0.40
2009-08-07 05:30:00;-0.59;-5.17;16.45;0.02;0.40
2009-08-07 05:35:00;-0.67;-5.22;16.39;0.02;0.40
2009-08-07 05:40:00;-0.65;-5.28;16.32;0.02;0.40
2009-08-07 05:45:00;-0.63;-5.33;16.29;0.02;0.39
2009-08-07 05:50:00;-0.62;-5.38;16.43;0.02;0.39
2009-08-07 05:55:00;-0.60;-5.43;16.57;0.02;0.40
2009-08-07 06:00:00;-0.59;-5.48;16.72;0.02;0.41
2009-08-07 06:05:00;-0.57;-5.53;16.86;0.02;0.43
2009-08-07 06:10:00;-0.56;-5.58;16.93;0.02;0.44
2009-08-07 06:15:00;-0.54;-5.63;16.87;0.02;0.46
2009-08-07 06:20:00;-0.53;-5.68;16.81;0.02;0.47
2009-08-07 06:25:00;-0.41;-4.89;16.75;0.02;0.46
2009-08-07 06:30:00;-0.22;0.68;16.69;0.02;0.45
2009-08-07 06:35:00;-0.03;6.24;16.63;0.02;0.45
2009-08-07 06:40:00;0.15;11.80;16.57;0.04;0.44
2009-08-07 06:45:00;0.34;17.36;16.51;0.08;0.43
2009-08-07 06:50:00;0.53;22.92;16.45;0.11;0.42
2009-08-07 06:55:00;0.71;28.49;16.39;0.15;0.41
2009-08-07 07:00:00;0.90;34.05;16.32;0.19;0.42
2009-08-07 07:05:00;1.09;39.61;16.26;0.21;0.43
2009-08-07 07:10:00;1.27;45.17;16.49;0.23;0.44
2009-08-07 07:15:00;1.46;50.74;17.00;0.26;0.45
2009-08-07 07:20:00;1.65;56.30;17.50;0.28;0.51
2009-08-07 07:25:00;1.83;73.43;18.01;0.30;0.64
2009-08-07 07:30:00;2.02;123.33;18.52;0.32;0.77
2009-08-07 07:35:00;2.14;146.74;19.03;0.41;0.90
2009-08-07 07:40:00;2.25;170.15;19.78;0.50;1.02
2009-08-07 07:45:00;2.35;193.56;22.57;0.59;1.15
2009-08-07 07:50:00;2.46;216.97;24.38;0.68;1.28
2009-08-07 07:55:00;2.57;240.38;25.24;0.77;1.41
2009-08-07 08:00:00;2.68;263.79;26.10;0.86;1.54
2009-08-07 08:05:00;2.81;287.21;26.97;0.95;1.67
2009-08-07 08:10:00;3.06;310.62;27.83;1.04;1.80
2009-08-07 08:15:00;3.31;337.57;28.69;1.13;1.92
2009-08-07 08:20:00;3.56;368.99;29.56;1.42;2.05
2009-08-07 08:25:00;3.81;400.41;30.42;1.72;2.18
2009-08-07 08:30:00;4.07;431.83;31.28;2.02;2.31
2009-08-07 08:35:00;4.32;463.25;32.15;2.32;2.44
2009-08-07 08:40:00;4.57;494.66;33.01;2.62;2.57
2009-08-07 08:45:00;5.02;526.08;33.87;2.89;2.70
2009-08-07 08:50:00;5.70;557.50;33.78;3.06;2.79
2009-08-07 08:55:00;6.37;588.92;33.68;3.23;2.77
