# This file has been generated by fmt_table5.py
#
# param: name of parameter
# coeff: name of coefficient in linear regression
# value: [?]
#
param;coeff;value
vc_max_25;sna;34.02
vc_max_25;b;-3.13
j_max_25;sna;78.27
j_max_25;b;-17.30
tpu_25;sna;6.24
tpu_25;b;-1.92
rd_25;sna;0.42
rd_25;b;-0.01
