# This file has been generated by fmt_table_a2.py
#
# name: name of variable
# ref: Reference for value
# unit: [none]
# value: [unit]
#
name;value;unit;ref
alpha_15_20;0.20;[µmol CO2.µmol photon-1];Schultz (2003)
alpha_20_25;0.19;[µmol CO2.µmol photon-1];Schultz (2003)
alpha_25_30;0.19;[µmol CO2.µmol photon-1];Schultz (2003)
alpha_30_34;0.14;[µmol CO2.µmol photon-1];Schultz (2003)
alpha_34;0.12;[µmol CO2.µmol photon-1];Schultz (2003)
delta_hd;200.00;[kJ.mol-1];Harley (1992)
oxygen;21.00;[kPa];
delta_s;0.64;[kJ.K-1.mol-1];Harley (1992)
gb;2.36;[mol.m-2.s-1];default value for leaf-cuvette
