opencv-python<=4.9.0.80,>=4.6.0
Pillow<=10.3.0,>=8.0.0
PyYAML<=6.0.1,>=5.4.0
tqdm<=4.66.2,>=4.1.0
numpy<2.0.0,>=1.18.0
pandas<=2.2.2,>=1.0.0
torch<=2.3.0,>=2.0.0
torchvision<=0.18.0,>=0.15.1
typing-extensions<=4.11.0,>=4.0.0
xmltodict<=0.13.0,>=0.12.0
jsonpickle<=3.1.0,>=3.0.0
matplotlib<=3.8.4,>=3.6.0
