# This file has been generated by fmt_fig5.py
#
#
# solar_time: [h] time of measurement
# pfd_XX: [µmol photon.m-2.s-1] irradiance  (azimuth XX)
# tce_XX: [mmol H2O.plant-1.s-1] total amount of transpiration by plant (azimuth XX)
#
;pfd_ew;pfd_ns;tce_ew;tce_ns
0;38.65;38.91;0.51;0.06
1;59.29;82.74;0.47;0.38
2;81.72;110.26;0.75;0.24
3;107.72;121.99;0.74;0.57
4;130.65;133.20;0.83;0.36
5;156.14;155.63;0.76;0.41
6;167.10;171.94;0.90;1.03
7;173.98;179.58;0.05;0.51
8;179.58;216.28;0.76;1.21
9;217.81;229.03;0.04;0.75
10;229.79;259.10;1.25;1.85
11;259.10;305.99;0.38;1.85
12;305.48;347.28;0.26;0.71
13;344.73;365.12;2.05;2.45
14;366.64;405.89;0.62;1.01
15;405.89;423.73;1.99;3.52
16;421.18;472.66;1.37;2.66
17;472.15;485.41;2.12;3.35
18;486.93;542.49;1.02;2.84
19;542.49;556.76;1.73;3.58
20;557.78;629.65;0.91;2.89
21;625.57;652.59;1.99;5.14
22;650.55;684.70;2.06;3.21
23;682.15;727.51;2.07;3.45
24;728.53;731.59;2.17;4.65
25;732.61;774.41;1.41;4.04
26;772.37;833.53;2.58;4.03
27;836.08;835.06;2.58;5.11
28;837.10;889.09;1.49;3.92
29;888.07;914.07;2.45;6.50
30;916.10;930.89;2.92;6.95
31;931.40;945.67;2.83;3.97
32;942.10;996.64;2.49;4.22
33;996.13;997.15;2.81;6.84
34;1000.21;1009.89;2.51;4.82
35;1012.44;1046.59;1.78;4.59
36;1045.57;1061.88;3.20;7.10
37;1066.47;1093.48;2.94;5.28
38;1095.52;1103.17;3.90;6.41
39;1105.20;1121.00;2.39;6.59
40;1124.06;1147.51;2.31;7.55
41;1149.04;1151.59;3.84;5.21
42;1152.61;1190.32;3.31;6.02
43;1193.38;1191.85;3.89;5.52
44;1193.89;1192.36;2.52;6.68
45;1196.44;1243.33;3.14;5.51
46;1246.39;1269.33;4.10;6.57
47;1269.84;1289.72;3.05;5.51
48;1289.72;1296.85;4.08;6.23
49;1295.32;1329.47;2.74;6.01
50;1328.45;1348.84;4.52;7.16
51;1349.35;1372.29;3.84;6.21
52;1376.37;1376.37;4.69;6.71
53;1378.40;1412.55;3.68;7.07
54;1415.10;1414.08;4.45;6.29
55;1418.16;1443.14;5.02;5.51
56;1444.67;1457.41;4.26;6.06
57;1456.39;1482.89;3.09;5.73
58;1484.42;1489.52;3.68;5.42
59;1487.99;1491.56;4.75;6.11
60;1494.11;1506.85;3.55;5.77
61;1502.26;1532.33;5.05;5.42
62;1536.41;1552.72;5.12;4.55
63;1553.74;1565.47;3.55;5.44
64;1567.50;1574.13;4.91;4.96
65;1572.60;1589.93;4.39;5.89
66;1591.46;1605.73;5.54;5.39
67;1606.75;1611.85;4.95;4.61
68;1610.32;1632.24;4.49;5.18
69;1628.67;1649.06;4.09;3.91
70;1632.24;1656.70;4.49;5.37
71;1634.28;1674.54;4.99;3.55
72;1642.43;1683.72;5.07;3.20
73;1649.06;1684.74;3.75;4.46
74;1660.78;1693.40;5.22;3.63
75;1661.29;;4.69;
76;1662.82;;3.78;
77;1671.48;;3.99;
78;1684.23;;3.98;
79;1688.30;;4.33;
80;1692.38;;4.12;
81;1692.89;;3.77;
