# This file has been generated by fmt_table.py
#
# time: time of day
# shoot: type of shoot bearing the leaf
# expo: either 'light' or 'shade'
# an: [µmol CO2.m-2.s-1] leaf CO2 net assimilation rate
# tr: [mmol H2O.m-2.s-1] leaf transpiration rate
#
time;shoot;expo;an;tr
morning;main;light;11.9;2.8
morning;main;shade;2.7;1.9
morning;lateral;light;11.5;2.9
morning;lateral;shade;3.0;1.5
afternoon;main;light;9.8;3.2
afternoon;main;shade;1.2;2.1
afternoon;lateral;light;9.4;3.2
afternoon;latral;shade;1.8;1.5
