# This file has been generated by fmt_fig3.py
#
#
# solar_time: [h] time of measurement
# co2_XX: [µll-1] CO2 concentration for experiment with azimuth XX
# pfd_XX: [µmol photon.m-2.s-1] irradiance for experiment with azimuth XX
# tca_XX: [µmol CO2.plant-1.s-1] total amount of carbon assimilated by plant (azimuth XX)
# tce_XX: [mmol H2O.plant-1.s-1] total amount of transpiration by plant (azimuth XX)
# vpd_XX: [kPa] vapor pressure deficit (azimuth XX)
# wue_XX: [µmol CO2.mmol H2O-1] water use efficiency (azimuth XX)
#
solar_time;co2_ew;co2_ns;pfd_ew;pfd_ns;tca_ew;tca_ns;tce_ew;tce_ns;vpd_ew;vpd_ns;wue_ew;wue_ns
12.00;339.37;331.74;1675.41;1682.99;24.37;24.89;7.99;4.99;2.43;2.06;2.81;5.11
12.20;338.51;331.08;1688.69;1688.89;24.37;24.59;8.62;4.43;2.47;2.18;2.79;5.62
12.40;337.66;330.41;1699.42;1608.83;23.82;24.05;8.81;4.24;2.34;2.20;2.83;5.46
12.60;336.87;329.74;1598.62;1635.65;23.88;24.23;8.44;4.51;2.57;2.21;3.23;5.26
12.80;336.79;329.07;1635.40;1650.12;24.32;24.01;8.01;4.15;2.46;2.45;3.14;5.73
13.00;336.71;328.41;1660.70;1649.78;23.60;24.14;7.46;4.08;2.39;2.58;3.05;5.89
13.20;336.63;327.74;1620.46;1576.55;23.02;24.95;7.27;3.93;2.45;2.56;3.01;6.32
13.40;336.55;327.07;1642.10;1579.45;23.11;22.63;7.61;4.86;2.51;2.54;2.96;4.90
13.60;336.47;326.40;1575.92;1565.80;23.37;24.00;7.75;4.69;2.56;2.45;2.99;5.12
13.80;336.39;325.74;1543.78;1547.96;23.36;22.75;8.03;5.49;2.55;2.33;3.05;4.26
14.00;336.31;325.07;1485.37;1530.13;23.20;22.41;7.83;6.47;2.53;2.21;3.30;3.56
14.20;336.24;324.40;1463.72;1502.30;23.35;22.74;7.76;7.52;2.52;2.09;3.13;3.07
14.40;336.16;323.73;1421.65;1457.57;23.74;22.28;7.11;6.89;2.50;2.15;3.36;3.21
14.60;336.08;323.07;1379.59;1412.84;22.84;22.41;7.33;5.77;2.48;2.17;3.45;3.66
14.80;336.00;322.40;1337.52;1368.12;23.36;22.70;7.09;5.12;2.47;1.97;3.28;4.31
15.00;335.92;321.73;1295.46;1323.39;23.31;23.16;6.84;5.79;2.45;2.30;3.34;3.81
15.20;335.84;323.98;1253.39;1278.66;21.69;23.96;6.64;5.66;2.44;2.49;3.39;4.28
15.40;335.76;322.14;1211.33;1233.93;21.30;22.59;6.38;5.31;2.42;2.55;3.36;4.11
15.60;335.68;321.83;1170.24;1180.94;20.97;22.12;6.02;5.07;2.40;2.42;3.56;4.25
15.80;335.61;322.96;1132.58;1117.95;21.07;23.34;6.39;5.48;2.39;2.37;3.64;4.31
16.00;335.53;324.09;1052.25;1046.92;20.68;22.31;5.92;5.51;2.37;2.21;3.58;3.84
16.20;335.45;325.21;1004.52;975.88;20.49;22.49;5.61;5.17;2.32;2.43;3.44;4.55
16.40;335.40;326.34;956.79;904.84;19.48;22.07;5.37;4.34;2.17;2.38;3.66;4.91
16.60;335.36;327.47;928.83;834.41;19.63;24.73;5.72;3.00;2.01;2.50;3.75;7.79
16.80;335.31;324.09;835.08;795.50;19.12;22.55;5.34;3.20;2.09;2.43;4.26;7.29
17.00;335.26;319.93;797.09;686.94;19.58;22.58;5.09;3.51;2.00;2.00;4.00;6.01
17.20;335.22;320.06;682.06;589.96;17.99;22.19;4.50;2.10;1.91;1.89;4.00;10.46
17.40;335.17;320.18;637.62;546.99;17.89;21.81;4.30;2.11;1.83;1.78;4.20;9.91
17.60;335.13;320.12;599.77;504.03;17.96;21.08;4.38;1.73;1.74;1.67;4.38;9.89
17.80;335.08;317.12;516.24;461.07;16.43;20.15;4.07;3.26;1.66;1.56;4.19;9.75
18.00;335.03;314.12;436.16;404.40;16.32;18.36;3.55;3.99;1.58;1.62;4.28;8.96
18.20;334.99;311.12;396.93;343.95;14.77;17.34;3.41;2.77;1.50;1.64;4.86;8.18
18.40;335.75;309.97;327.18;283.50;13.53;16.03;3.12;1.99;1.41;1.53;5.56;7.57
18.60;336.74;315.48;261.87;223.05;12.99;14.05;2.69;1.20;1.33;1.41;5.10;8.91
18.80;337.72;316.45;206.25;175.67;12.69;11.85;2.17;0.47;1.25;1.29;6.60;8.91
19.00;336.44;315.51;150.64;134.85;10.25;8.78;1.76;0.02;1.16;1.18;6.20;8.91
19.20;337.18;317.20;95.02;94.03;7.74;4.98;1.30;-0.34;1.08;1.06;6.11;8.91
19.40;339.08;320.61;47.30;61.03;5.46;3.39;0.67;-1.15;1.00;0.94;6.11;8.91
19.60;340.97;322.29;33.39;41.21;2.34;0.86;-0.10;-1.44;0.92;0.83;6.11;8.91
19.80;342.87;322.29;19.49;21.40;-0.20;0.00;-0.89;-1.19;0.84;0.71;6.11;8.91
20.00;344.76;329.63;5.58;5.46;-1.00;-0.43;-1.29;-1.67;0.84;0.61;6.11;8.91
