# This file has been generated by fmt_fig3.py
#
#
# solar_time: [h] time of measurement
# co2_XX: [µll-1] CO2 concentration for experiment with azimuth XX
# pfd_XX: [µmol photon.m-2.s-1] irradiance for experiment with azimuth XX
# tca_XX: [µmol CO2.plant-1.s-1] total amount of carbon assimilated by plant (azimuth XX)
# tce_XX: [mmol H2O.plant-1.s-1] total amount of transpiration by plant (azimuth XX)
# vpd_XX: [kPa] vapor pressure deficit (azimuth XX)
# wue_XX: [µmol CO2.mmol H2O-1] water use efficiency (azimuth XX)
#
solar_time;co2_ew;co2_ns;pfd_ew;pfd_ns;tca_ew;tca_ns;tce_ew;tce_ns;vpd_ew;vpd_ns;wue_ew;wue_ns
5.00;472.75;449.04;87.21;36.93;1.18;0.19;-0.31;-0.77;0.28;0.06;11.40;5.56
5.20;482.40;449.86;87.21;51.44;1.18;4.53;-0.31;-0.68;0.27;0.09;11.40;5.56
5.40;481.30;446.14;87.21;77.97;1.18;0.33;-0.31;-0.50;0.26;0.13;11.40;5.56
5.60;491.89;463.85;103.20;104.50;7.64;3.20;-0.32;-0.81;0.26;0.16;11.40;5.56
5.80;483.68;477.71;125.18;131.03;12.61;5.63;-0.29;-0.29;0.25;0.19;11.40;5.56
6.00;475.25;463.62;147.15;157.56;12.79;10.95;-0.00;0.12;0.26;0.18;11.40;5.56
6.20;451.50;464.69;178.30;224.70;14.36;16.10;0.22;0.29;0.31;0.16;11.40;5.56
6.40;431.97;449.47;324.29;346.39;14.35;20.52;0.53;0.55;0.37;0.15;11.40;5.56
6.60;427.90;433.80;375.22;407.83;16.04;20.30;1.05;0.99;0.42;0.21;11.40;5.56
6.80;423.83;398.39;296.49;469.27;17.76;18.83;0.65;1.58;0.43;0.34;11.40;5.56
7.00;419.77;365.52;330.88;611.69;20.56;16.37;1.66;2.79;0.46;0.53;11.10;5.60
7.20;415.70;378.23;673.94;674.97;23.83;21.20;2.26;3.06;0.58;0.69;10.05;6.72
7.40;407.03;370.48;718.55;715.25;23.90;22.31;2.37;3.66;0.70;0.77;9.63;6.15
7.60;401.94;362.73;781.49;755.53;23.62;22.18;2.53;3.32;0.82;0.85;8.49;6.41
7.80;393.36;359.95;869.87;797.60;25.17;23.89;2.85;3.93;0.95;0.88;7.79;5.73
8.00;377.59;362.18;910.93;911.53;24.65;24.45;3.29;3.83;1.07;0.83;6.85;6.21
8.20;372.02;364.40;983.32;963.82;24.19;25.26;3.52;4.66;1.13;0.84;6.13;5.35
8.40;367.11;362.87;1007.65;1016.10;25.41;25.17;4.22;4.75;1.13;0.88;5.42;5.45
8.60;362.19;360.51;1085.34;1068.39;25.56;25.22;4.92;5.91;1.23;0.90;4.90;4.27
8.80;357.28;358.15;1159.85;1120.67;25.64;25.14;5.25;5.54;1.30;0.82;4.59;4.47
9.00;352.36;355.79;1218.57;1177.55;24.73;25.61;5.62;6.14;1.30;0.83;4.23;4.18
9.20;352.02;354.05;1186.64;1237.41;24.93;26.35;5.51;5.49;1.33;1.01;4.55;4.68
9.40;351.12;356.66;1288.97;1297.27;24.52;26.08;5.93;5.97;1.39;1.06;3.66;4.89
9.60;349.82;351.75;1413.29;1365.33;25.59;25.32;6.98;6.71;1.45;1.09;3.66;3.78
9.80;348.74;349.06;1387.13;1439.55;25.01;25.34;7.05;6.05;1.50;1.05;3.43;4.17
10.00;347.89;346.37;1406.59;1480.71;24.38;24.51;7.30;6.27;1.53;1.08;3.51;3.98
10.20;347.04;343.68;1498.31;1521.86;25.15;24.83;7.22;5.64;1.55;1.24;3.28;4.38
10.40;346.19;340.99;1513.26;1563.02;25.28;25.32;7.82;5.51;1.66;1.46;3.21;4.37
10.60;345.33;338.30;1479.62;1532.62;25.14;25.48;8.19;5.25;1.66;1.46;3.15;5.04
10.80;344.48;335.75;1358.64;1570.31;25.42;24.50;8.14;5.32;1.70;1.47;3.11;4.57
11.00;343.63;335.08;1146.20;1608.01;24.61;25.01;8.12;4.86;1.76;1.47;3.02;5.06
11.20;342.78;334.42;933.77;1580.84;23.67;24.74;8.03;6.59;2.16;1.55;2.97;3.84
11.40;341.92;333.75;1328.67;1608.16;23.89;24.22;8.01;5.87;2.12;1.86;3.02;4.08
11.60;341.07;333.08;1285.99;1626.91;24.75;24.51;8.33;5.36;2.36;1.96;2.74;4.55
11.80;340.22;332.41;1561.55;1636.03;24.21;24.50;8.75;5.00;2.39;2.06;3.06;4.66
