# This file has been generated by fmt_fig4.py
#
#
# solar_time: [h] time of measurement
# co2: [µll-1] CO2 concentration in the atmosphere
# pfd: [µmol photon.m-2.s-1] irradiance
# tca_XX: [µmol CO2.plant-1.s-1] total amount of carbon assimilated by plant (azimuth XX)
# tce_XX: [mmol H2O.plant-1.s-1] total amount of transpiration by plant (azimuth XX)
# vpd: [kPa] vapor pressure deficit
# wue_XX: [µmol CO2.mmol H2O-1] water use efficiency (azimuth XX)
#
solar_time;co2;pfd;tca_ew;tca_ns;tce_ew;tce_ns;vpd;wue_ew;wue_ns
5.00;369.49;40.52;2.24;2.18;0.48;0.03;0.45;9.62;10.55
5.20;368.93;60.03;3.03;3.80;0.44;-0.07;0.41;9.62;10.55
5.40;367.87;84.39;4.73;6.77;0.71;0.25;0.39;9.62;10.55
5.60;364.16;108.75;6.63;7.36;0.73;0.28;0.43;9.62;10.55
5.80;360.55;133.11;8.85;9.24;0.80;0.41;0.48;9.62;10.55
6.00;359.49;158.00;9.90;11.62;0.88;0.44;0.52;9.62;10.55
6.20;360.00;210.98;10.99;13.12;1.12;0.58;0.57;9.62;10.55
6.40;362.00;327.05;15.48;14.85;1.84;0.70;0.56;9.62;10.55
6.60;359.67;423.16;15.46;17.52;2.00;0.97;0.50;9.62;10.55
6.80;354.69;495.34;16.04;21.66;1.98;2.66;0.72;9.62;10.55
7.00;353.23;588.87;17.63;22.40;1.77;2.89;0.95;9.43;10.55
7.20;352.41;670.57;19.64;23.22;2.03;3.08;0.98;9.17;9.91
7.40;351.58;723.63;20.26;24.02;2.12;3.31;0.98;9.29;9.28
7.60;349.16;779.25;20.58;23.71;2.52;3.91;1.12;8.07;7.39
7.80;346.32;841.16;21.42;23.86;2.57;3.99;1.31;8.22;7.49
8.00;343.48;908.37;21.58;24.00;2.47;3.97;1.31;8.76;7.54
8.20;343.19;975.57;22.98;25.14;2.64;4.11;1.30;8.46;7.45
8.40;342.95;1035.17;23.34;24.69;3.05;4.42;1.29;7.76;6.83
8.60;342.71;1094.22;23.54;24.48;3.72;5.13;1.30;6.46;5.54
8.80;342.48;1153.27;23.53;24.79;3.84;5.24;1.31;6.08;5.61
9.00;342.24;1212.32;24.13;24.51;3.99;5.59;1.31;6.03;5.19
9.20;340.16;1263.85;23.96;24.19;4.11;5.57;1.36;5.90;5.14
9.40;337.15;1314.33;23.22;23.74;4.33;5.83;1.43;5.43;4.75
9.60;336.27;1364.82;22.96;23.23;4.65;6.19;1.49;4.93;4.40
9.80;336.06;1412.86;24.33;24.60;4.96;6.30;1.55;4.81;4.57
10.00;334.29;1452.19;23.92;23.57;4.27;5.57;1.47;5.41;5.07
10.20;332.52;1491.52;23.51;24.09;4.82;5.82;1.72;5.08;4.83
10.40;332.18;1530.85;23.09;23.78;5.08;5.59;1.78;4.75;4.90
10.60;331.87;1561.37;22.68;23.66;4.97;5.44;1.85;4.58;5.07
10.80;331.55;1585.00;22.63;23.78;4.94;5.83;1.91;4.22;4.85
11.00;331.24;1608.62;22.67;23.33;4.96;5.41;1.95;4.47;5.03
