# This file has been generated by fmt_fig8.py
#
#
# pfd: [µmol photon.m-2.s-1] irradiance
# tce: [mmol H2O.plant-1.s-1] total amount of transpiration by plant
#
pfd;tce
162.25;1.85
162.49;0.35
209.34;2.46
260.51;3.21
275.35;3.15
320.59;4.78
332.08;3.94
371.02;5.36
396.60;5.05
422.19;6.29
454.45;5.81
477.44;5.68
505.25;7.79
524.90;7.40
572.36;9.55
573.11;7.23
621.68;8.08
624.65;10.64
678.42;11.94
702.15;9.10
734.04;11.69
770.01;10.56
788.55;11.07
828.96;11.52
840.09;11.88
882.73;12.41
889.41;13.57
933.90;12.12
936.87;13.16
988.04;12.68
999.54;11.89
1038.10;13.76
1069.62;13.49
1080.00;12.57
1088.53;15.05
1113.00;14.38
1157.87;15.28
1172.33;13.57
1189.39;16.12
1218.68;13.29
1256.51;14.95
1260.21;16.68
1290.25;16.30
1297.30;14.62
1339.94;13.97
1348.47;12.23
1359.59;16.07
1381.10;15.20
1414.84;13.65
1426.34;16.09
1440.43;17.53
1457.86;13.22
1473.43;16.42
1487.15;12.04
1516.07;13.13
1525.71;14.85
1529.79;16.03
1542.03;15.62
1545.37;13.95
1555.01;16.53
1573.92;15.74
1580.59;14.48
1582.82;13.85
1595.06;15.08
1598.39;15.51
1609.15;14.38
1619.16;15.41
1636.21;17.23
1636.96;14.56
1649.93;15.57
1652.90;11.61
1661.43;14.05
1661.80;14.64
1663.65;13.56
