id, storage_size, write_bandwidth, read_bandwidth, annual_failure_rate
0, 14000000, 125, 116, 24.29
1, 14000000, 223, 226, 14.64
2, 8000000, 183, 181, 5.66
3, 8000000, 160, 160, 5.38
4, 18000000, 214, 221, 3.58
5, 4000000, 112, 133, 2.60
6, 10000000, 184, 194, 2.42
7, 12000000, 175, 171, 2.31
8, 12000000, 166, 171, 2.11
9, 12000000, 193, 204, 1.80
