t,r,y,u
0.00000000,50.00000000,48.25000000,6.26967001
0.00000000,50.00000000,48.25000000,6.26967001
0.80000000,50.00000000,48.31250000,12.32579708
1.60000000,50.00000000,48.12500000,17.08193207
2.40000000,50.00000000,48.06250000,21.01127243
3.20000000,50.00000000,48.00000000,23.17930222
4.00000000,50.00000000,48.06250000,24.54298401
4.80000000,50.00000000,48.18750000,24.47581291
5.60000000,50.00000000,48.31250000,24.32785988
6.40000000,50.00000000,48.50000000,23.55119514
7.20000000,50.00000000,48.68750000,23.05960655
8.00000000,50.00000000,48.81250000,22.60918617
8.80000000,50.00000000,49.00000000,22.50418282
9.60000000,50.00000000,49.12500000,22.34703827
10.40000000,50.00000000,49.25000000,22.49976921
11.20000000,50.00000000,49.37500000,22.39760399
12.00000000,50.00000000,49.50000000,22.33855629
12.80000000,50.00000000,49.62500000,21.92992401
13.60000000,50.00000000,49.75000000,21.47383499
14.40000000,50.00000000,49.87500000,20.72091484
15.20000000,50.00000000,49.93750000,20.17652130
16.00000000,50.00000000,50.06250000,19.40096283
16.80000000,50.00000000,50.12500000,18.85373688
17.60000000,50.00000000,50.25000000,18.06056213
18.40000000,50.00000000,50.31250000,17.37811089
19.20000000,50.00000000,50.31250000,17.05040550
20.00000000,50.00000000,50.37500000,16.66670227
20.80000000,50.00000000,50.37500000,16.41669464
21.60000000,50.00000000,50.37500000,16.31296539
22.40000000,50.00000000,50.37500000,16.28130913
23.20000000,50.00000000,50.31250000,16.42770767
24.00000000,50.00000000,50.31250000,16.56236458
24.80000000,50.00000000,50.31250000,16.60234451
25.60000000,50.00000000,50.25000000,16.84182167
26.40000000,50.00000000,50.25000000,16.91966820
27.20000000,50.00000000,50.25000000,16.96961594
28.00000000,50.00000000,50.25000000,16.95255661
28.80000000,50.00000000,50.18750000,17.21532249
29.60000000,50.00000000,50.25000000,17.09692001
30.40000000,50.00000000,50.25000000,16.98471260
31.20000000,50.00000000,50.18750000,17.13591003
32.00000000,50.00000000,50.25000000,16.96482658
32.80000000,50.00000000,50.18750000,16.97716904
33.60000000,50.00000000,50.18750000,17.16817474
34.40000000,50.00000000,50.18750000,17.17528915
35.20000000,50.00000000,50.18750000,17.31035042
36.00000000,50.00000000,50.18750000,17.41430855
36.80000000,50.00000000,50.18750000,17.30891800
37.60000000,50.00000000,50.18750000,17.41765404
38.40000000,50.00000000,50.18750000,17.07533836
39.20000000,50.00000000,50.18750000,17.39041710
40.00000000,50.00000000,50.18750000,17.18803406
40.80000000,50.00000000,50.18750000,17.44017410
41.60000000,50.00000000,50.18750000,16.82402420
42.40000000,50.00000000,50.18750000,17.07285690
43.20000000,50.00000000,50.18750000,16.83542633
44.00000000,50.00000000,50.18750000,17.25308037
44.80000000,50.00000000,50.12500000,17.13939667
45.60000000,50.00000000,50.18750000,17.45869255
46.40000000,50.00000000,50.18750000,16.84317780
47.20000000,50.00000000,50.12500000,17.52252960
48.00000000,50.00000000,50.18750000,16.87913513
48.80000000,50.00000000,50.18750000,17.30307388
49.60000000,50.00000000,50.12500000,17.10802841
50.40000000,50.00000000,50.18750000,17.44084167
51.20000000,50.00000000,50.18750000,16.99483490
52.00000000,50.00000000,50.18750000,17.44810677
52.80000000,50.00000000,50.12500000,16.77244568
53.60000000,50.00000000,50.12500000,17.56600761
54.40000000,50.00000000,50.12500000,16.87279892
55.20000000,50.00000000,50.12500000,17.50314140
56.00000000,50.00000000,50.12500000,17.13971519
56.80000000,50.00000000,50.12500000,17.63651657
57.60000000,50.00000000,50.12500000,17.44671822
58.40000000,50.00000000,50.18750000,17.62495995
59.20000000,50.00000000,50.18750000,16.55366135
60.00000000,50.00000000,50.12500000,17.14878464
60.80000000,50.00000000,50.18750000,16.52842140
61.60000000,50.00000000,50.12500000,16.97081184
62.40000000,50.00000000,50.18750000,16.72209167
63.20000000,50.00000000,50.12500000,16.93801689
64.00000000,50.00000000,50.12500000,16.77403069
64.80000000,50.00000000,50.12500000,16.91091537
65.60000000,50.00000000,50.12500000,16.61921501
66.40000000,50.00000000,50.06250000,17.27322960
67.20000000,50.00000000,50.12500000,16.83576202
68.00000000,50.00000000,50.12500000,17.07225609
68.80000000,50.00000000,50.12500000,16.62046051
69.60000000,50.00000000,50.06250000,16.84319305
70.40000000,50.00000000,50.06250000,16.97696877
71.20000000,50.00000000,50.06250000,16.94641495
72.00000000,50.00000000,50.06250000,17.18163109
72.80000000,50.00000000,50.06250000,16.95673561
73.60000000,50.00000000,50.06250000,17.47077751
74.40000000,50.00000000,50.06250000,17.14160538
75.20000000,50.00000000,50.06250000,17.49302483
76.00000000,50.00000000,50.06250000,16.74744987
76.80000000,50.00000000,50.06250000,17.07473183
77.60000000,50.00000000,50.00000000,17.20022392
78.40000000,50.00000000,50.00000000,17.74217415
79.20000000,50.00000000,50.06250000,17.37929535
80.00000000,50.00000000,50.00000000,17.74057388
80.80000000,50.00000000,50.06250000,17.61565971
81.60000000,50.00000000,50.06250000,17.12282372
82.40000000,50.00000000,50.06250000,17.29778671
83.20000000,50.00000000,50.06250000,17.07429314
84.00000000,50.00000000,50.06250000,17.41519737
84.80000000,50.00000000,50.06250000,16.84770775
85.60000000,50.00000000,50.06250000,17.18147469
86.40000000,50.00000000,50.06250000,16.80520439
87.20000000,50.00000000,50.06250000,17.36686707
88.00000000,50.00000000,50.06250000,16.64274216
88.80000000,50.00000000,50.06250000,17.31261063
89.60000000,50.00000000,50.06250000,16.76940346
90.40000000,50.00000000,50.06250000,16.89085960
91.20000000,50.00000000,50.06250000,16.65472794
92.00000000,50.00000000,50.06250000,17.03140640
92.80000000,50.00000000,50.06250000,16.90891266
93.60000000,50.00000000,50.06250000,16.91459084
94.40000000,50.00000000,50.00000000,17.26985550
95.20000000,50.00000000,50.06250000,16.62579727
96.00000000,50.00000000,50.00000000,17.68803024
96.80000000,50.00000000,50.00000000,17.23996544
97.60000000,50.00000000,50.00000000,17.66028976
98.40000000,50.00000000,50.00000000,17.11982155
99.20000000,50.00000000,50.06250000,17.30027771
100.00000000,55.00000000,50.00000000,34.86659622
100.80000000,55.00000000,50.06250000,52.98224640
101.60000000,55.00000000,50.25000000,64.39123535
102.40000000,55.00000000,50.75000000,71.22124481
103.20000000,55.00000000,51.50000000,70.01918793
104.00000000,55.00000000,52.37500000,65.06192017
104.80000000,55.00000000,53.37500000,56.21773148
105.60000000,55.00000000,54.25000000,46.82273483
106.40000000,55.00000000,55.06250000,38.09265518
107.20000000,55.00000000,55.75000000,30.83919716
108.00000000,55.00000000,56.25000000,25.90437317
108.80000000,55.00000000,56.56250000,23.08361816
109.60000000,55.00000000,56.81250000,21.12080574
110.40000000,55.00000000,56.93750000,20.18443871
111.20000000,55.00000000,57.00000000,19.51472664
112.00000000,55.00000000,57.06250000,18.13489914
112.80000000,55.00000000,57.06250000,17.04558563
113.60000000,55.00000000,57.06250000,15.04587173
114.40000000,55.00000000,57.00000000,13.58788776
115.20000000,55.00000000,56.87500000,12.23058891
116.00000000,55.00000000,56.75000000,11.70189953
116.80000000,55.00000000,56.56250000,11.05141926
117.60000000,55.00000000,56.37500000,11.85632992
118.40000000,55.00000000,56.18750000,12.13504696
119.20000000,55.00000000,56.00000000,13.17793655
120.00000000,55.00000000,55.81250000,13.87832355
120.80000000,55.00000000,55.62500000,15.17235947
121.60000000,55.00000000,55.43750000,16.05340385
122.40000000,55.00000000,55.25000000,16.94688988
123.20000000,55.00000000,55.18750000,18.03101158
124.00000000,55.00000000,55.06250000,18.77962112
124.80000000,55.00000000,54.93750000,20.24866295
125.60000000,55.00000000,54.87500000,20.26512909
126.40000000,55.00000000,54.81250000,21.24794960
127.20000000,55.00000000,54.75000000,21.03914833
128.00000000,55.00000000,54.68750000,22.27065468
128.80000000,55.00000000,54.68750000,22.12949181
129.60000000,55.00000000,54.68750000,23.30060959
130.40000000,55.00000000,54.68750000,22.85513878
131.20000000,55.00000000,54.68750000,24.06094551
132.00000000,55.00000000,54.75000000,22.97754478
132.80000000,55.00000000,54.81250000,23.44332314
133.60000000,55.00000000,54.81250000,23.05333900
134.40000000,55.00000000,54.87500000,22.98563957
135.20000000,55.00000000,54.93750000,22.42805481
136.00000000,55.00000000,54.93750000,22.51465034
136.80000000,55.00000000,54.93750000,22.15719986
137.60000000,55.00000000,55.00000000,22.00811195
138.40000000,55.00000000,55.06250000,21.42955017
139.20000000,55.00000000,55.00000000,21.67917633
140.00000000,55.00000000,55.00000000,21.38276482
140.80000000,55.00000000,55.06250000,20.73803139
141.60000000,55.00000000,55.00000000,21.48891068
142.40000000,55.00000000,55.06250000,21.35663223
143.20000000,55.00000000,55.06250000,21.24914932
144.00000000,55.00000000,55.06250000,21.19391441
144.80000000,55.00000000,55.06250000,21.36285782
145.60000000,55.00000000,55.06250000,21.17473030
146.40000000,55.00000000,55.06250000,21.05005264
147.20000000,55.00000000,55.06250000,20.61123085
148.00000000,55.00000000,55.06250000,20.28085518
148.80000000,55.00000000,55.06250000,20.12520981
149.60000000,55.00000000,55.06250000,20.52599335
150.40000000,55.00000000,55.00000000,20.63611031
151.20000000,55.00000000,54.93750000,21.60830116
152.00000000,55.00000000,54.93750000,21.35316467
152.80000000,55.00000000,54.93750000,22.09026146
153.60000000,55.00000000,54.93750000,21.33878708
154.40000000,55.00000000,54.93750000,21.83238792
155.20000000,55.00000000,55.00000000,21.44238853
156.00000000,55.00000000,55.00000000,21.63244247
156.80000000,55.00000000,55.00000000,21.06773758
157.60000000,55.00000000,55.00000000,21.46664619
158.40000000,55.00000000,55.00000000,20.46559334
159.20000000,55.00000000,54.93750000,21.94950867
160.00000000,55.00000000,55.00000000,20.58112335
160.80000000,55.00000000,55.00000000,21.83153534
161.60000000,55.00000000,55.00000000,21.06751060
162.40000000,55.00000000,55.00000000,21.94320679
163.20000000,55.00000000,55.00000000,20.93280983
164.00000000,55.00000000,55.00000000,21.80325317
164.80000000,55.00000000,55.00000000,21.11297035
165.60000000,55.00000000,55.00000000,21.45033073
166.40000000,55.00000000,55.00000000,21.23589325
167.20000000,55.00000000,55.00000000,21.64929390
168.00000000,55.00000000,55.00000000,21.10099411
168.80000000,55.00000000,55.00000000,21.33145714
169.60000000,55.00000000,55.00000000,20.90182495
170.40000000,55.00000000,55.00000000,21.35921288
171.20000000,55.00000000,55.00000000,20.70784950
172.00000000,55.00000000,55.00000000,21.41811180
172.80000000,55.00000000,55.00000000,21.02437782
173.60000000,55.00000000,55.00000000,21.31732750
174.40000000,55.00000000,55.00000000,20.99372292
175.20000000,55.00000000,55.00000000,20.93270874
176.00000000,55.00000000,55.00000000,20.80675888
176.80000000,55.00000000,55.00000000,21.03663445
177.60000000,55.00000000,55.00000000,20.44238472
178.40000000,55.00000000,54.93750000,20.58312607
179.20000000,55.00000000,55.00000000,20.85565758
180.00000000,55.00000000,55.00000000,20.94857979
180.80000000,55.00000000,54.93750000,20.97098923
181.60000000,55.00000000,54.93750000,21.36234474
182.40000000,55.00000000,54.93750000,20.73204231
183.20000000,55.00000000,54.93750000,21.48854637
184.00000000,55.00000000,54.93750000,21.34314537
184.80000000,55.00000000,54.93750000,21.61134720
185.60000000,55.00000000,54.93750000,21.28900719
186.40000000,55.00000000,55.00000000,21.21089554
187.20000000,55.00000000,54.93750000,21.56368256
188.00000000,55.00000000,54.93750000,21.43106461
188.80000000,55.00000000,55.00000000,21.32722092
189.60000000,55.00000000,54.93750000,21.32273865
190.40000000,55.00000000,54.93750000,21.18795586
191.20000000,55.00000000,55.00000000,21.04813385
192.00000000,55.00000000,55.00000000,20.55560112
192.80000000,55.00000000,55.00000000,21.19667244
193.60000000,55.00000000,55.00000000,20.98756218
194.40000000,55.00000000,55.00000000,21.37492752
195.20000000,55.00000000,55.00000000,20.79715538
196.00000000,55.00000000,55.00000000,21.50588799
196.80000000,55.00000000,54.93750000,21.24312019
197.60000000,55.00000000,55.00000000,21.53001785
198.40000000,55.00000000,55.00000000,20.75225067
199.20000000,55.00000000,55.00000000,21.01050186
200.00000000,55.00000000,55.00000000,20.19545364
