# This file has been generated by fmt_fig4.py
#
# hour: number of hour post last irrigation
# aba: [µmol.m-3] ABA concentration
# lwp: [MPa] leaf water potential
# sapflow: [mg H20.plant-1.s-1] plant water flux
#
hour;aba_obs;aba_sim;lwp_obs;lwp_sim;sapflow_obs;sapflow_sim
0;;50.350;;-0.093;;0.213
1;;50.350;;-0.093;0.153;0.213
2;;51.672;;-0.094;0.110;0.209
3;;53.222;;-0.095;0.312;0.205
4;;54.772;;-0.096;0.117;0.202
5;;56.321;-0.126;-0.096;0.036;0.198
6;;57.871;;-0.121;0.337;0.194
7;;50.618;;-0.297;1.568;0.928
8;;41.979;;-0.424;2.518;2.380
9;;42.078;;-0.483;2.498;3.058
10;;48.900;;-0.498;2.652;3.025
11;738.974;48.900;-0.502;-0.542;3.113;3.471
12;202.572;41.226;-0.522;-0.632;4.743;5.771
13;205.955;42.513;-0.581;-0.696;5.327;7.293
14;194.840;55.348;-0.571;-0.654;3.593;5.796
15;;67.058;;-0.614;2.713;4.033
16;;66.195;;-0.670;3.767;4.583
17;;73.197;;-0.660;3.054;4.444
18;;93.988;;-0.560;2.089;2.927
19;;123.605;;-0.459;1.373;1.458
20;;139.104;;-0.387;0.549;0.835
21;;173.869;;-0.241;0.251;0.213
22;;178.845;;-0.241;0.206;0.183
23;;178.790;;-0.242;0.185;0.183
24;;178.735;;-0.242;0.195;0.183
25;;178.679;;-0.243;0.195;0.183
26;;178.624;;-0.243;0.400;0.183
27;;178.568;;-0.243;0.117;0.183
28;;178.513;;-0.244;0.084;0.183
29;;178.458;-0.189;-0.244;0.112;0.183
30;;174.230;;-0.270;0.393;0.194
31;;143.701;;-0.419;1.520;0.818
32;;114.234;;-0.557;2.994;2.092
33;;97.121;;-0.669;3.734;3.563
34;;85.316;;-0.780;5.006;5.200
35;149.377;82.244;-0.592;-0.868;5.570;7.041
36;204.050;90.321;-0.628;-0.897;5.893;7.035
37;196.532;100.265;-0.732;-0.875;5.211;5.570
38;;109.899;;-0.897;5.630;5.500
39;171.246;119.534;-0.620;-0.888;4.108;4.953
40;195.849;150.088;-0.811;-0.759;3.267;2.860
41;232.070;166.729;-0.658;-0.740;3.110;2.568
42;157.578;178.149;-0.756;-0.706;2.294;2.276
43;;220.837;;-0.619;1.583;1.223
44;;284.813;;-0.612;0.602;0.198
45;;285.646;;-0.395;0.319;0.198
46;;286.480;;-0.372;0.302;0.198
47;;287.314;;-0.372;0.266;0.198
48;;288.148;;-0.373;0.269;0.198
49;;288.982;;-0.374;0.198;0.198
50;;289.815;;-0.375;0.426;0.198
51;;290.649;;-0.375;0.233;0.198
52;;291.483;;-0.376;0.231;0.198
53;;292.317;-0.371;-0.377;0.178;0.198
54;;282.883;;-0.389;0.370;0.241
55;;243.274;;-0.589;1.520;1.059
56;;210.653;;-0.723;3.370;1.876
57;;189.896;;-0.857;3.825;3.031
58;156.211;181.952;-0.736;-1.019;5.468;4.515
59;169.196;180.375;-0.846;-1.182;6.073;5.591
60;196.532;194.067;-0.910;-1.284;6.219;5.734
61;196.532;215.182;-0.938;-1.256;5.559;5.130
62;;233.521;;-1.261;4.854;4.793
63;;249.312;;-1.325;4.298;4.535
64;;281.718;;-1.244;3.482;3.707
65;;316.627;;-1.122;2.741;2.819
66;;351.536;;-0.982;1.960;1.945
67;;396.292;;-0.842;1.293;1.072
68;;452.568;;-0.804;0.335;0.198
69;;456.976;;-0.576;0.183;0.187
70;;458.231;;-0.578;0.140;0.186
71;;459.487;;-0.579;0.218;0.185
72;;460.742;;-0.580;0.236;0.184
73;;461.998;;-0.582;0.193;0.183
74;;463.253;;-0.583;0.547;0.182
75;;464.508;;-0.584;0.173;0.181
76;;465.764;;-0.584;0.102;0.180
77;;467.019;-0.596;-0.585;;0.179
78;;468.274;;-0.586;0.203;0.178
79;;441.729;;-0.710;0.896;0.408
80;;419.924;;-0.834;1.095;0.812
