# This file has been generated by fmt_fig4.py
#
# hour: number of hour post last irrigation
# aba: [µmol.m-3] ABA concentration
# lwp: [MPa] leaf water potential
# sapflow: [mg H20.plant-1.s-1] plant water flux
#
hour;aba_obs;aba_sim;lwp_obs;lwp_sim;sapflow_obs;sapflow_sim
81;;410.624;;-0.972;2.301;1.235
82;;391.529;;-1.143;2.245;1.916
83;385.154;396.933;-0.907;-1.321;2.882;2.654
84;429.575;415.616;-1.127;-1.375;2.334;2.655
85;621.614;448.342;-1.150;-1.234;1.679;2.149
86;;488.989;;-1.006;1.449;1.129
87;;505.241;;-0.925;1.042;0.808
88;;521.492;;-0.856;0.350;0.583
89;;537.744;;-0.832;0.673;0.481
90;;541.898;;-0.838;0.486;0.515
91;;550.872;;-0.809;0.524;0.421
92;;572.954;;-0.804;0.307;0.202
93;;576.766;;-0.723;0.244;0.198
94;;576.958;;-0.720;0.110;0.198
95;;577.151;;-0.720;0.153;0.198
96;;577.343;;-0.720;0.084;0.198
97;;577.536;;-0.721;0.150;0.198
98;;580.542;;-0.724;0.155;0.198
99;;584.158;;-0.728;0.158;0.198
100;;584.806;;-0.728;0.145;0.198
101;;585.301;-0.739;-0.728;0.150;0.198
102;;585.445;;-0.731;0.178;0.213
103;;568.537;;-0.837;0.595;0.530
104;;551.628;;-1.036;1.151;0.847
105;;555.212;;-1.147;1.376;1.163
106;1005.725;583.752;-1.092;-1.126;2.422;1.032
107;;595.532;;-1.106;1.186;0.832
108;698.156;607.311;-1.045;-1.109;0.913;0.787
109;575.142;625.134;-1.022;-1.043;0.817;0.661
110;;629.741;;-1.048;0.534;0.665
111;;634.349;;-1.074;0.807;0.672
112;;638.957;;-1.136;0.822;0.828
113;;650.118;;-1.122;0.759;0.822
114;;661.596;;-1.082;0.595;0.649
115;;664.974;;-1.064;0.314;0.565
116;;687.594;;-1.040;0.375;0.209
117;;693.559;;-0.864;0.372;0.178
118;;696.923;;-0.865;0.329;0.178
119;;700.287;;-0.867;0.307;0.178
120;;703.652;;-0.870;0.153;0.178
121;;708.387;;-0.875;0.471;0.178
122;;713.367;;-0.881;0.542;0.178
123;;714.808;;-0.881;0.044;0.178
124;;716.250;;-0.882;0.160;0.178
125;;717.692;-1.014;-0.884;0.158;0.178
126;;719.134;;-0.897;0.137;0.178
127;;712.376;;-1.025;0.289;0.418
128;;705.461;;-1.236;0.484;0.781
129;;712.744;;-1.360;1.164;0.929
130;947.736;736.292;-1.190;-1.406;1.406;1.068
131;469.897;748.070;-1.271;-1.531;1.073;1.081
132;732.327;759.694;-1.463;-1.511;0.865;0.982
