algorithm,number_files,average_file_size,min_file_size,max_file_size,number_storage_nodes,total_simulation_time,total_data_generation_time,total_chunking_time,total_scheduling_time,total_upload_time,average_data_generation_time,average_scheduling_time,average_chunking_time,average_upload_time,average_overhead,total_storage_used,nodes_storage_utilization
alg1,10,1048576.0,1048576,1048576,10,88161.6733,27.159648,116.762963,3.0876500000000004,1180.4526440000002,2.7159648,0.30876500000000007,11.6762963,118.04526440000002,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
alg2,10,1048576.0,1048576,1048576,10,53315.26614600001,22.240174,93.664934,684.8829880000001,2939.3151480000006,2.2240174,68.48829880000001,9.3664934,293.93151480000006,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
alg3,10,1048576.0,1048576,1048576,10,53217.014381999994,20.769728999999998,93.389721,842.8912280000001,3113.6477150000005,2.0769729,84.2891228,9.3389721,311.3647715000001,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
alg4,10,1048576.0,1048576,1048576,10,53679.71613199999,24.242739,90.02687799999998,908.602222,2891.286156,2.4242739,90.8602222,9.002687799999999,289.1286156,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
random,10,1048576.0,1048576,1048576,10,42148.733081,23.326141,192.181397,2.775957,1983.3425110000003,2.3326141,0.2775957,19.218139700000002,198.33425110000002,389.5243549346924,38.95243549346924,"[4.3928632736206055, 3.892862319946289, 4.3928632736206055, 5.392864227294922, 5.392864227294922, 2.0595273971557617, 3.9166717529296875, 2.0595273971557617, 4.0595293045043945, 3.392862319946289]"
hdfs,10,1048576.0,1048576,1048576,10,50854.76137199999,27.109528,0.036194000000000004,3.013812,797.644348,2.7109528000000003,0.3013812,0.0036194000000000005,79.7644348,300.0,30.001258850097656,"[10.000419616699219, 10.000419616699219, 10.000419616699219]"
alg2_reduced_complexity,10,1048576.0,1048576,1048576,10,52200.19574299999,23.411172000000004,76.11318999999999,152.05849500000002,2205.966482,2.3411172000000002,15.205849500000003,7.611318999999999,220.59664819999998,114.28604125976562,11.428604125976562,"[1.4285755157470703, 1.4285755157470703, 1.4285755157470703, 1.4285755157470703, 1.4285755157470703, 1.4285755157470703, 1.4285755157470703, 1.4285755157470703]"
alg3_reduced_complexity,10,1048576.0,1048576,1048576,10,52963.680361000006,23.916514,95.769944,812.375331,2869.8626249999998,2.3916513999999998,81.2375331,9.5769944,286.98626249999995,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
alg4_reduced_complexity,10,1048576.0,1048576,1048576,10,53305.96686,21.084084,90.581793,903.50961,2864.181681,2.1084084,90.350961,9.0581793,286.4181681,111.11164093017578,11.111164093017578,"[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
hdfsrs_3_2,10,1048576.0,1048576,1048576,10,630.6537490000001,20.251453,8.505053,2.591574,508.72060500000003,2.0251453,0.2591574,0.8505053,50.8720605,166.6666030883789,16.667499542236328,"[8.333749771118164, 8.333749771118164]"
hdfsrs_6_3,10,1048576.0,1048576,1048576,10,50833.740022,24.095649,8.636854,2.334707,927.399863,2.4095649000000003,0.23347069999999998,0.8636853999999999,92.7399863,150.0,15.001258850097656,"[5.000419616699219, 5.000419616699219, 5.000419616699219]"
hdfsrs_10_4,10,1048576.0,1048576,1048576,10,51104.59445899999,25.50668,9.635852,2.8314199999999996,1015.383791,2.550668,0.28314199999999995,0.9635852,101.5383791,140.00015258789062,14.001693725585938,"[3.5004234313964844, 3.5004234313964844, 3.5004234313964844, 3.5004234313964844]"
vandermonders_3_2,10,1048576.0,1048576,1048576,10,3057.738331,24.907001999999995,21.459499,2.14874,563.256363,2.4907001999999996,0.214874,2.1459499,56.3256363,166.6666030883789,16.667499542236328,"[8.333749771118164, 8.333749771118164]"
vandermonders_6_3,10,1048576.0,1048576,1048576,10,53201.771107,21.494116999999996,26.977832,2.8782000000000005,754.6325780000001,2.1494116999999995,0.2878200000000001,2.6977832,75.46325780000001,150.0,15.001258850097656,"[5.000419616699219, 5.000419616699219, 5.000419616699219]"
vandermonders_10_4,10,1048576.0,1048576,1048576,10,53508.235148,23.310754999999997,31.913891000000003,2.542122,1026.1549989999999,2.3310755,0.2542122,3.1913891000000003,102.61549989999999,140.00015258789062,14.001693725585938,"[3.5004234313964844, 3.5004234313964844, 3.5004234313964844, 3.5004234313964844]"
