algorithm,id_file,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
alg1,0,104857600,10,9,116508450,11650845,111.11111640930176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176]"
alg2,0,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[50.000000953674316, 50.000000953674316, 50.000000953674316]"
alg3,0,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[50.000000953674316, 50.000000953674316, 50.000000953674316]"
alg4,0,104857600,3,2,157286403,52428801,150.00000286102295,"[1, 2, 9]","[50.000000953674316, 50.000000953674316, 50.000000953674316]"
random,0,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[50.000000953674316, 50.000000953674316, 50.000000953674316]"
hdfs,0,104857600,3,1,314572800,104857644,300.0,"[0, 1, 9]","[100.00004196166992, 100.00004196166992, 100.00004196166992]"
alg2_reduced_complexity,0,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 2]","[50.000000953674316, 50.000000953674316, 50.000000953674316]"
alg3_reduced_complexity,0,104857600,3,2,157286403,52428801,150.00000286102295,"[0, 1, 9]","[50.000000953674316, 50.000000953674316, 50.000000953674316]"
alg4_reduced_complexity,0,104857600,3,2,157286403,52428801,150.00000286102295,"[1, 2, 9]","[50.000000953674316, 50.000000953674316, 50.000000953674316]"
hdfsrs_3_2,0,104857600,2,1.2,174762666,87381377,166.6666660308838,"[1, 9]","[83.33337497711182, 83.33337497711182]"
hdfsrs_6_3,0,104857600,3,2.0,157286400,52428844,150.0,"[0, 1, 9]","[50.00004196166992, 50.00004196166992, 50.00004196166992]"
hdfsrs_10_4,0,104857600,4,2.857142857142857,146800640,36700204,140.0,"[0, 1, 8, 9]","[35.00004196166992, 35.00004196166992, 35.00004196166992, 35.00004196166992]"
vandermonders_3_2,0,104857600,2,1.2,174762666,87381377,166.6666660308838,"[1, 9]","[83.33337497711182, 83.33337497711182]"
vandermonders_6_3,0,104857600,3,2.0,157286400,52428844,150.0,"[0, 1, 9]","[50.00004196166992, 50.00004196166992, 50.00004196166992]"
vandermonders_10_4,0,104857600,4,2.857142857142857,146800640,36700204,140.0,"[0, 1, 8, 9]","[35.00004196166992, 35.00004196166992, 35.00004196166992, 35.00004196166992]"
