algorithm,id_file,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
alg1,0,10485760,10,9,11650850,1165085,111.11116409301758,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
alg2,0,10485760,10,9,11650850,1165085,111.11116409301758,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
alg3,0,10485760,10,9,11650850,1165085,111.11116409301758,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
alg4,0,10485760,10,9,11650850,1165085,111.11116409301758,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
random,0,10485760,4,1,41943044,10485761,400.00003814697266,"[4, 7, 8, 9]","[10.000000953674316, 10.000000953674316, 10.000000953674316, 10.000000953674316]"
hdfs,0,10485760,3,1,31457280,10485804,300.0,"[0, 1, 9]","[10.000041961669922, 10.000041961669922, 10.000041961669922]"
alg2_reduced_complexity,0,10485760,8,7,11983728,1497966,114.28573608398438,"[0, 1, 2, 3, 4, 5, 6, 7]","[1.4285717010498047, 1.4285717010498047, 1.4285717010498047, 1.4285717010498047, 1.4285717010498047, 1.4285717010498047, 1.4285717010498047, 1.4285717010498047]"
alg3_reduced_complexity,0,10485760,10,9,11650850,1165085,111.11116409301758,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
alg4_reduced_complexity,0,10485760,10,9,11650850,1165085,111.11116409301758,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758, 1.1111116409301758]"
hdfsrs_3_2,0,10485760,2,1.2,17476266,8738177,166.6666603088379,"[1, 9]","[8.333374977111816, 8.333374977111816]"
hdfsrs_6_3,0,10485760,3,2.0,15728640,5242924,150.0,"[0, 1, 9]","[5.000041961669922, 5.000041961669922, 5.000041961669922]"
hdfsrs_10_4,0,10485760,4,2.857142857142857,14680064,3670060,140.0,"[0, 1, 8, 9]","[3.500041961669922, 3.500041961669922, 3.500041961669922, 3.500041961669922]"
vandermonders_3_2,0,10485760,2,1.2,17476266,8738177,166.6666603088379,"[1, 9]","[8.333374977111816, 8.333374977111816]"
vandermonders_6_3,0,10485760,3,2.0,15728640,5242924,150.0,"[0, 1, 9]","[5.000041961669922, 5.000041961669922, 5.000041961669922]"
vandermonders_10_4,0,10485760,4,2.857142857142857,14680064,3670060,140.0,"[0, 1, 8, 9]","[3.500041961669922, 3.500041961669922, 3.500041961669922, 3.500041961669922]"
