algorithm,number_files,average_file_size,min_file_size,max_file_size,number_storage_nodes,total_simulation_time,total_data_generation_time,total_chunking_time,total_scheduling_time,total_upload_time,average_data_generation_time,average_scheduling_time,average_chunking_time,average_upload_time,average_overhead,total_storage_used,nodes_storage_utilization
alg1,10,104857600.0,104857600,104857600,10,116291.55060900001,2541.2047129999996,15102.931831,3.453202,5198.5055569999995,254.12047129999996,0.3453202,1510.2931831,519.8505557,111.11111640930176,1111.1111640930176,"[111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176]"
alg2,10,104857600.0,104857600,104857600,10,72908.903072,2049.4222670000004,11223.182848000002,799.9445620000001,6816.786574,204.94222670000005,79.99445620000002,1122.3182848000001,681.6786574,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
alg3,10,104857600.0,104857600,104857600,10,70663.35463100001,1886.0507109999996,10251.530096,815.129367,6431.356898,188.60507109999998,81.5129367,1025.1530096000001,643.1356898,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
alg4,10,104857600.0,104857600,104857600,10,30432.075526000004,2408.378875,10910.240088,1143.514067,7756.100445,240.8378875,114.35140670000001,1091.0240088,775.6100445,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
random,10,104857600.0,104857600,104857600,10,67385.397713,1926.278781,15579.349707,2.761091,7881.590488000002,192.6278781,0.2761091,1557.9349707,788.1590488000002,211.4285767555237,2114.285767555237,"[317.6190547943115, 142.61905193328857, 200.9523868560791, 261.6666717529297, 167.6190528869629, 167.6190528869629, 150.95238494873047, 267.6190538406372, 236.66667079925537, 200.9523868560791]"
hdfs,10,104857600.0,104857600,104857600,10,60347.028955,1905.332626,0.04026999999999999,2.313139,12881.499847,190.5332626,0.23131390000000002,0.004026999999999999,1288.1499847,300.0,3000.0012588500977,"[1000.0004196166992, 1000.0004196166992, 1000.0004196166992]"
alg2_reduced_complexity,10,104857600.0,104857600,104857600,10,69339.28489200001,1794.115794,9899.435837,142.24841,5471.172038999999,179.4115794,14.224841000000001,989.9435837000001,547.1172038999999,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
alg3_reduced_complexity,10,104857600.0,104857600,104857600,10,69058.22240999999,1845.0446029999998,9309.704276999999,778.64467,5009.041957,184.50446029999998,77.864467,930.9704276999998,500.90419570000006,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
alg4_reduced_complexity,10,104857600.0,104857600,104857600,10,28894.165760000004,2184.740757,10324.474369999998,1066.181357,7785.18431,218.47407570000001,106.6181357,1032.4474369999998,778.518431,150.00000286102295,1500.0000286102295,"[500.00000953674316, 500.00000953674316, 500.00000953674316]"
hdfsrs_3_2,10,104857600.0,104857600,104857600,10,21741.41253,2224.72612,452.430804,2.663593,11313.728981,222.47261199999997,0.2663593,45.243080400000004,1131.3728981,166.6666660308838,1666.6674995422363,"[833.3337497711182, 833.3337497711182]"
hdfsrs_6_3,10,104857600.0,104857600,104857600,10,60319.57147200001,1888.098567,396.8426840000001,2.5165669999999998,5876.4808379999995,188.8098567,0.25165669999999996,39.68426840000001,587.6480838,150.0,1500.0012588500977,"[500.0004196166992, 500.0004196166992, 500.0004196166992]"
hdfsrs_10_4,10,104857600.0,104857600,104857600,10,59632.54753699999,1853.9293379999997,328.91613699999994,2.527662,4842.871487,185.39293379999998,0.2527662,32.89161369999999,484.28714870000005,140.0,1400.0016784667969,"[350.0004196166992, 350.0004196166992, 350.0004196166992, 350.0004196166992]"
vandermonders_3_2,10,104857600.0,104857600,104857600,10,248392.195642,2145.157802,2469.9175520000003,2.6916010000000004,11196.378328,214.51578020000002,0.2691601,246.99175520000003,1119.6378328,166.6666660308838,1666.6674995422363,"[833.3337497711182, 833.3337497711182]"
vandermonders_6_3,10,104857600.0,104857600,104857600,10,283948.339129,1903.2792319999999,3173.0549510000005,2.532481,6516.116630000001,190.3279232,0.25324810000000003,317.30549510000003,651.6116630000001,150.0,1500.0012588500977,"[500.0004196166992, 500.0004196166992, 500.0004196166992]"
vandermonders_10_4,10,104857600.0,104857600,104857600,10,290079.390753,1856.482168,3664.653082,2.8772379999999997,5328.891095,185.6482168,0.2877238,366.4653082,532.8891095,140.0,1400.0016784667969,"[350.0004196166992, 350.0004196166992, 350.0004196166992, 350.0004196166992]"
