algorithm,id_file,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
alg1,0,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578]"
alg1,1,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156]"
alg1,2,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734]"
alg1,3,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031]"
alg1,4,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789]"
alg1,5,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547]"
alg1,6,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305]"
alg1,7,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062]"
alg1,8,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582]"
alg1,9,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
alg2,0,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578]"
alg2,1,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156]"
alg2,2,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734]"
alg2,3,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031]"
alg2,4,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789]"
alg2,5,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547]"
alg2,6,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305]"
alg2,7,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062]"
alg2,8,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582]"
alg2,9,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
alg3,0,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578]"
alg3,1,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156]"
alg3,2,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734]"
alg3,3,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031]"
alg3,4,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789]"
alg3,5,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547]"
alg3,6,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305]"
alg3,7,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062]"
alg3,8,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582]"
alg3,9,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
alg4,0,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578, 0.11111164093017578]"
alg4,1,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156, 0.22222328186035156]"
alg4,2,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734, 0.33333492279052734]"
alg4,3,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031, 0.4444465637207031]"
alg4,4,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789, 0.5555582046508789]"
alg4,5,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547, 0.6666698455810547]"
alg4,6,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305, 0.7777814865112305]"
alg4,7,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062, 0.8888931274414062]"
alg4,8,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582, 1.000004768371582]"
alg4,9,1048576,10,9,1165090,116509,111.11164093017578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578, 1.1111164093017578]"
random,0,1048576,8,1,8388616,1048577,800.0007629394531,"[0, 1, 2, 3, 4, 5, 8, 9]","[1.0000009536743164, 1.0000009536743164, 1.0000009536743164, 1.0000009536743164, 1.0000009536743164, 1.0000009536743164, 1.0000009536743164, 1.0000009536743164]"
random,1,1048576,4,1,4194308,1048577,400.00038146972656,"[1, 3, 4, 8]","[2.000001907348633, 2.000001907348633, 2.000001907348633, 2.000001907348633]"
random,2,1048576,9,7,1348173,149797,128.57179641723633,"[0, 1, 2, 3, 4, 5, 7, 8, 9]","[1.1428585052490234, 2.14285945892334, 1.1428585052490234, 2.14285945892334, 2.14285945892334, 1.1428585052490234, 0.14285755157470703, 2.14285945892334, 1.1428585052490234]"
random,3,1048576,5,3,1747630,349526,166.66698455810547,"[0, 2, 3, 4, 9]","[1.4761924743652344, 1.4761924743652344, 2.476193428039551, 2.476193428039551, 1.4761924743652344]"
random,4,1048576,5,1,5242885,1048577,500.0004768371582,"[0, 2, 3, 4, 6]","[2.476193428039551, 2.476193428039551, 3.476194381713867, 3.476194381713867, 1.0000009536743164]"
random,5,1048576,9,6,1572867,174763,150.00028610229492,"[0, 2, 3, 4, 5, 6, 7, 8, 9]","[2.6428604125976562, 2.6428604125976562, 3.6428613662719727, 3.6428613662719727, 1.309525489807129, 1.1666679382324219, 0.3095245361328125, 2.3095264434814453, 1.6428594589233398]"
random,6,1048576,8,1,8388616,1048577,800.0007629394531,"[0, 1, 2, 3, 4, 6, 7, 9]","[3.6428613662719727, 3.1428604125976562, 3.6428613662719727, 4.642862319946289, 4.642862319946289, 2.1666688919067383, 1.309525489807129, 2.6428604125976562]"
random,7,1048576,10,4,2621450,262145,250.0009536743164,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3.892862319946289, 3.3928613662719727, 3.892862319946289, 4.8928632736206055, 4.8928632736206055, 1.5595264434814453, 2.4166698455810547, 1.5595264434814453, 2.5595273971557617, 2.8928613662719727]"
random,8,1048576,2,1,2097154,1048577,200.00019073486328,"[6, 8]","[3.416670799255371, 3.559528350830078]"
