algorithm,number_files,average_file_size,min_file_size,max_file_size,number_storage_nodes,total_simulation_time,total_data_generation_time,total_chunking_time,total_scheduling_time,total_upload_time,average_data_generation_time,average_scheduling_time,average_chunking_time,average_upload_time,average_overhead,total_storage_used,nodes_storage_utilization
alg1,1,104857600.0,104857600,104857600,10,10124.572759,185.81806,1275.721802,0.227046,420.790842,185.81806,0.227046,1275.721802,420.790842,111.11111640930176,111.11111640930176,"[11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176]"
alg2,1,104857600.0,104857600,104857600,10,7393.355399,228.853625,1162.923343,79.560862,771.034821,228.853625,79.560862,1162.923343,771.034821,150.00000286102295,150.00000286102295,"[50.000000953674316, 50.000000953674316, 50.000000953674316]"
alg3,1,104857600.0,104857600,104857600,10,7148.062308,181.66351,1036.368076,96.038319,700.40655,181.66351,96.038319,1036.368076,700.40655,150.00000286102295,150.00000286102295,"[50.000000953674316, 50.000000953674316, 50.000000953674316]"
alg4,1,104857600.0,104857600,104857600,10,2827.660111,180.86826,991.501046,91.117719,851.198145,180.86826,91.117719,991.501046,851.198145,150.00000286102295,150.00000286102295,"[50.000000953674316, 50.000000953674316, 50.000000953674316]"
random,1,104857600.0,104857600,104857600,10,7231.70036,234.870866,1101.295455,0.234536,733.589779,234.870866,0.234536,1101.295455,733.589779,150.00000286102295,150.00000286102295,"[50.000000953674316, 50.000000953674316, 50.000000953674316]"
hdfs,1,104857600.0,104857600,104857600,10,5995.565448,192.93763,0.004112,0.213226,1331.899429,192.93763,0.213226,0.004112,1331.899429,300.0,300.00012588500977,"[100.00004196166992, 100.00004196166992, 100.00004196166992]"
alg2_reduced_complexity,1,104857600.0,104857600,104857600,10,7053.839084,182.435261,1062.428023,14.237081,1150.743365,182.435261,14.237081,1062.428023,1150.743365,150.00000286102295,150.00000286102295,"[50.000000953674316, 50.000000953674316, 50.000000953674316]"
alg3_reduced_complexity,1,104857600.0,104857600,104857600,10,7071.952546,195.317739,1023.44894,76.145548,664.272429,195.317739,76.145548,1023.44894,664.272429,150.00000286102295,150.00000286102295,"[50.000000953674316, 50.000000953674316, 50.000000953674316]"
alg4_reduced_complexity,1,104857600.0,104857600,104857600,10,2736.205086,186.703063,998.869414,91.006607,781.457225,186.703063,91.006607,998.869414,781.457225,150.00000286102295,150.00000286102295,"[50.000000953674316, 50.000000953674316, 50.000000953674316]"
hdfsrs_3_2,1,104857600.0,104857600,104857600,10,2320.735972,230.464482,61.555591,0.236373,1150.02537,230.464482,0.236373,61.555591,1150.02537,166.6666660308838,166.66674995422363,"[83.33337497711182, 83.33337497711182]"
hdfsrs_6_3,1,104857600.0,104857600,104857600,10,6217.605219,220.698298,54.409587,0.302576,656.034206,220.698298,0.302576,54.409587,656.034206,150.0,150.00012588500977,"[50.00004196166992, 50.00004196166992, 50.00004196166992]"
hdfsrs_10_4,1,104857600.0,104857600,104857600,10,6030.952375,183.322392,56.531784,0.224716,651.266732,183.322392,0.224716,56.531784,651.266732,140.0,140.0001678466797,"[35.00004196166992, 35.00004196166992, 35.00004196166992, 35.00004196166992]"
vandermonders_3_2,1,104857600.0,104857600,104857600,10,26104.182237,179.385152,291.733716,0.205399,1193.373676,179.385152,0.205399,291.733716,1193.373676,166.6666660308838,166.66674995422363,"[83.33337497711182, 83.33337497711182]"
vandermonders_6_3,1,104857600.0,104857600,104857600,10,30771.286987,264.083326,343.063719,0.24969,641.941611,264.083326,0.24969,343.063719,641.941611,150.0,150.00012588500977,"[50.00004196166992, 50.00004196166992, 50.00004196166992]"
vandermonders_10_4,1,104857600.0,104857600,104857600,10,30474.480946,181.825952,380.555891,0.374623,547.883476,181.825952,0.374623,380.555891,547.883476,140.0,140.0001678466797,"[35.00004196166992, 35.00004196166992, 35.00004196166992, 35.00004196166992]"
