algorithm,id_file,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
alg1,0,104857600,10,9,116508450,11650845,111.11111640930176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176, 11.111111640930176]"
alg1,1,104857600,10,9,116508450,11650845,111.11111640930176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035, 22.22222328186035]"
alg1,2,104857600,10,9,116508450,11650845,111.11111640930176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053, 33.33333492279053]"
alg1,3,104857600,10,9,116508450,11650845,111.11111640930176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207, 44.4444465637207]"
alg1,4,104857600,10,9,116508450,11650845,111.11111640930176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088, 55.55555820465088]"
alg1,5,104857600,10,9,116508450,11650845,111.11111640930176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105, 66.66666984558105]"
alg1,6,104857600,10,9,116508450,11650845,111.11111640930176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123, 77.77778148651123]"
alg1,7,104857600,10,9,116508450,11650845,111.11111640930176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414, 88.8888931274414]"
alg1,8,104857600,10,9,116508450,11650845,111.11111640930176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158, 100.00000476837158]"
alg1,9,104857600,10,9,116508450,11650845,111.11111640930176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176, 111.11111640930176]"
