# This file has been generated by fmt_fig1.py
#
#
# ca: [Pa CO2] partial pressure of CO2 during growth
# o2: [kPa] partial pressure of O2 in atmosphere
# an: [µmol CO2.m-2.s-1] Net photosynthesis
# ci: [Pa] Intercellular CO2
#
ca;o2;an;ci
35;2;2.57;1.96
35;2;7.51;3.73
35;2;22.06;9.36
35;2;33.86;16.16
35;2;35.59;24.60
35;2;34.93;37.74
35;2;32.53;51.11
35;2;32.74;72.29
35;20;0.95;6.07
35;20;12.65;12.80
35;20;22.36;20.30
35;20;27.75;27.97
35;20;31.82;37.35
35;20;34.47;50.87
35;20;33.35;64.55
65;2;1.29;2.16
65;2;6.88;3.72
65;2;19.84;10.08
65;2;30.34;16.55
65;2;35.33;23.82
65;2;36.25;37.26
65;2;35.44;50.24
65;2;35.47;75.83
65;20;0.86;6.02
65;20;11.26;13.08
65;20;19.55;19.91
65;20;25.80;27.62
65;20;31.43;38.28
65;20;34.75;51.15
65;20;36.29;74.99
