# This file has been generated by fmt_fig8.py
#
#
# mod_growth: [Pa CO2] partial pressure of CO2 during growth
# ca: [Pa CO2] partial pressure of CO2 in the atmosphere
# an: [µmol CO2.m-2.s-1] Net photosynthesis
#
mod_growth;an;ca
35;-0.09;5.50
35;1.53;6.58
35;3.00;7.57
35;4.33;8.49
35;5.54;9.35
35;6.64;10.14
35;7.65;10.89
35;8.59;11.60
35;9.46;12.28
35;10.29;12.93
35;11.10;13.57
35;11.89;14.21
35;12.68;14.84
35;13.50;15.49
35;14.34;16.16
35;15.24;16.86
35;16.21;17.59
35;17.45;19.36
35;18.69;21.42
35;19.90;23.76
35;21.08;26.37
35;22.23;29.27
35;23.33;32.44
35;24.39;35.88
35;25.39;39.59
35;26.33;43.56
35;27.20;47.80
35;27.99;52.29
35;28.71;57.03
35;29.33;62.03
35;29.86;67.27
35;30.29;72.76
35;30.60;78.49
65;0.14;5.65
65;1.21;6.42
65;2.28;7.20
65;3.34;7.99
65;4.41;8.79
65;5.48;9.60
65;6.55;10.43
65;7.62;11.29
65;8.70;12.16
65;9.78;13.07
65;10.86;14.00
65;11.94;14.97
65;13.03;15.98
65;14.12;17.03
65;15.22;18.11
65;16.32;19.25
65;17.43;20.43
65;18.96;23.33
65;20.36;26.36
65;21.62;29.53
65;22.76;32.81
65;23.79;36.22
65;24.70;39.73
65;25.52;43.34
65;26.25;47.04
65;26.89;50.82
65;27.46;54.68
65;27.96;58.60
65;28.40;62.58
65;28.79;66.62
65;29.13;70.69
65;29.45;74.80
65;29.73;78.94
