# This file has been generated by fmt_table5.py
#
# name: name of parameter
# mean: average value
# std: standard deviation
# var_coeff: variation coefficient
#
name;mean;std;var_coeff
q_10c;2.17;0.59;0.27
c_c;119.00;343.99;0.37
t_0bc;8.19;2.13;0.26
g_c;13236.00;4520.10;0.34
