# This file has been generated by fmt_table8.py
#
# cultivar: name of cultivar
# brin_cc: Cc parameter for BRIN model
# brin_gc: Gc parameter for BRIN model
# gdd_10_gc: Gc parameter for GDD_10 model
# gdd_5_gc: Gc parameter for GDD_5 model
# riou_gc: Gc parameter for Riou model
#
cultivar;brin_cc;brin_gc;gdd_10_gc;gdd_5_gc;riou_gc
Cabernet-Sauvignon;106.8;9169.4;52.5;318.6;80
Chasselas;106.3;6971.8;37.2;257.8;61
Chardonnay;101.2;6576.7;33.3;220.1;53
Grenache;102.2;9174.3;57.0;321.3;76
Merlot;105.7;7595.5;38.7;265.3;61
Pinot noir;103.6;7468.9;38.6;258.4;61
Riesling;108.2;7471.3;39.7;257.7;61
Sauvignon;103.9;8352.8;50.2;294.4;75
Syrah;99.2;7818.6;39.2;265.3;67
Ugni blanc;94.3;9145.4;48.0;284.7;65
