# This file has been generated by fmt_fig9.py
#
#
# t_organ: [°C] temperature of organ
# organ_mod: [g cO2.vine-1.day-1] Organ respiration for modality 'mod'
#
doy;cluster_hd;cluster_ld;leaf_hd;leaf_ld;stem_hd;stem_ld
90;0.000;0.069;0.009;0.009;0.043;0.011
91;0.000;0.068;0.032;0.028;0.045;0.015
92;0.000;0.068;0.070;0.060;0.048;0.024
93;0.000;0.067;0.109;0.092;0.051;0.032
94;0.000;0.067;0.147;0.123;0.054;0.041
95;0.000;0.066;0.185;0.155;0.057;0.050
96;0.000;0.066;0.189;0.187;0.060;0.059
97;0.000;0.065;0.180;0.191;0.063;0.067
98;0.000;0.065;0.170;0.184;0.066;0.076
99;0.000;0.064;0.160;0.176;0.069;0.085
100;0.000;0.063;0.151;0.169;0.072;0.093
101;0.000;0.063;0.141;0.161;0.075;0.102
102;0.000;0.062;0.140;0.175;0.097;0.111
103;0.000;0.062;0.170;0.201;0.130;0.119
104;0.000;0.061;0.200;0.227;0.163;0.128
105;0.000;0.061;0.230;0.252;0.195;0.137
106;0.000;0.060;0.261;0.278;0.228;0.174
107;0.000;0.060;0.291;0.304;0.261;0.229
108;0.001;0.059;0.321;0.330;0.294;0.284
109;0.001;0.059;0.358;0.355;0.327;0.340
110;0.001;0.058;0.439;0.422;0.360;0.395
111;0.001;0.058;0.520;0.496;0.392;0.450
112;0.002;0.057;0.600;0.569;0.425;0.505
113;0.002;0.057;0.681;0.643;0.476;0.561
114;0.002;0.056;0.762;0.717;0.531;0.616
115;0.002;0.056;0.842;0.792;0.585;0.671
116;0.003;0.055;0.932;0.868;0.640;0.727
117;0.003;0.055;1.022;0.943;0.694;0.782
118;0.003;0.054;1.112;1.019;0.749;0.846
119;0.003;0.054;1.198;1.095;0.737;0.912
120;0.004;0.053;1.269;1.145;0.719;0.977
121;0.004;0.053;1.340;1.167;0.701;1.042
122;0.004;0.052;1.411;1.189;0.683;1.107
123;0.004;0.052;1.482;1.211;0.665;1.173
124;0.005;0.051;1.511;1.234;0.741;1.238
125;0.005;0.050;1.484;1.256;0.888;1.333
126;0.005;0.050;1.472;1.278;1.035;1.429
127;0.005;0.049;1.573;1.374;1.182;1.524
128;0.006;0.049;1.674;1.504;1.330;1.620
129;0.006;0.048;1.775;1.634;1.384;1.715
130;0.006;0.048;1.876;1.743;1.353;1.822
131;0.006;0.047;1.977;1.832;1.655;2.058
132;0.007;0.047;2.078;1.921;1.980;2.293
133;0.007;0.046;2.178;2.009;2.305;2.529
134;0.007;0.046;2.279;2.098;2.630;2.765
135;0.007;0.045;2.381;2.187;2.954;3.000
136;0.008;0.045;2.610;2.396;3.268;3.603
137;0.008;0.049;2.994;2.873;3.057;4.241
138;0.017;0.056;3.208;2.915;3.137;3.719
139;0.076;0.063;3.199;2.639;3.330;3.563
140;0.136;0.070;3.189;2.795;3.523;3.906
141;0.195;0.077;3.223;2.955;3.716;4.138
142;0.254;0.084;3.277;3.108;3.505;4.050
143;0.314;0.091;3.330;3.191;3.295;4.052
144;0.373;0.098;3.383;3.275;3.649;4.342
145;0.418;0.105;3.436;3.359;3.744;4.631
146;0.410;0.112;3.489;3.443;3.582;4.355
147;0.402;0.119;3.550;3.307;3.171;3.925
148;0.430;0.126;3.626;3.151;3.553;4.553
149;0.613;0.133;3.702;3.103;4.148;5.092
150;0.796;0.140;3.778;3.545;4.524;5.507
151;0.979;0.194;3.980;3.988;4.591;5.922
152;1.162;0.266;4.200;4.396;4.658;6.382
153;1.260;0.338;4.331;4.761;4.725;6.914
154;1.243;0.381;4.428;4.591;5.084;6.270
155;1.287;0.412;4.524;4.417;4.762;6.310
156;1.501;0.443;4.621;4.651;4.415;6.294
157;1.461;0.474;4.520;4.749;4.055;5.712
158;1.411;0.505;4.377;4.616;4.143;5.835
159;1.362;0.536;4.233;4.482;3.784;5.537
160;1.355;0.573;4.090;4.349;4.892;6.990
161;1.722;0.688;4.315;4.592;4.915;7.007
162;1.673;0.803;4.753;5.051;5.255;7.345
163;1.809;0.918;5.191;5.511;5.845;8.656
164;2.060;1.033;5.511;5.970;6.647;9.625
165;2.312;1.148;5.817;6.430;6.829;9.854
166;2.325;1.263;6.122;6.889;6.792;10.082
167;2.320;1.386;6.368;6.803;7.085;10.310
168;2.492;1.510;6.604;7.353;7.623;9.467
169;2.664;1.634;6.841;5.981;7.969;8.438
170;2.768;1.741;7.077;5.653;7.779;8.370
171;2.695;1.796;7.313;5.610;7.869;8.738
172;2.816;1.851;7.550;5.777;8.020;9.313
173;2.937;1.906;7.792;6.137;8.171;9.928
174;3.057;1.950;7.985;6.049;7.950;9.456
175;3.035;1.845;7.535;5.716;7.597;8.983
176;2.865;1.740;7.085;5.382;7.132;8.511
177;2.694;1.635;6.692;5.049;5.960;7.815
178;2.524;1.535;6.333;4.728;5.791;6.961
179;2.354;1.438;5.994;4.804;5.542;6.540
180;2.214;1.341;5.675;4.880;4.992;6.119
181;2.084;1.245;5.359;4.483;5.194;6.532
182;2.231;1.341;5.676;4.799;5.687;7.268
183;2.424;1.471;6.100;5.114;6.181;8.004
184;2.617;1.601;6.223;5.430;6.267;7.844
185;2.481;1.555;5.477;5.241;5.091;7.227
186;2.335;1.427;5.248;4.821;4.800;6.353
187;2.189;1.299;5.136;5.063;5.051;6.659
188;2.245;1.408;5.210;5.305;5.325;6.966
189;2.408;1.532;5.331;5.547;5.600;7.273
190;2.571;1.656;6.258;6.426;6.602;8.489
191;3.098;1.776;6.610;6.653;6.217;8.101
192;2.885;1.794;6.319;6.229;6.437;8.211
193;3.025;1.811;6.027;5.851;5.621;7.768
194;2.608;1.622;5.736;5.709;4.630;6.549
195;2.363;1.396;5.445;5.568;4.028;6.098
196;2.374;1.340;5.154;5.426;4.111;5.489
197;2.614;1.401;5.349;5.667;4.639;6.354
198;2.854;1.555;5.730;6.209;5.306;7.284
199;2.999;1.709;5.552;6.137;4.890;6.992
200;2.859;1.799;5.374;6.139;4.902;6.528
201;2.908;1.888;5.560;6.513;5.212;7.135
202;3.132;1.976;5.931;6.899;5.523;7.713
203;3.355;2.064;6.302;7.307;5.734;7.929
204;3.579;2.152;6.614;7.804;5.846;8.145
205;3.803;2.196;5.926;7.480;4.290;6.354
206;3.422;2.051;5.237;6.659;3.955;5.999
207;3.089;1.907;5.042;6.307;4.018;5.905
208;3.340;1.952;5.172;6.510;4.130;6.127
209;3.613;2.127;6.134;7.187;4.751;6.998
210;3.936;2.303;5.928;7.877;4.701;6.855
211;4.040;2.356;5.722;7.721;4.093;6.311
212;3.841;2.238;5.483;7.428;3.828;5.768
213;3.681;2.121;5.238;7.049;3.840;5.623
214;3.838;2.186;5.305;7.591;3.864;5.945
215;4.130;2.413;5.865;8.133;3.887;6.571
216;4.428;2.607;5.578;8.387;4.147;5.721
217;4.386;2.414;5.125;7.635;3.578;5.588
218;4.230;2.301;5.290;7.943;3.608;5.850
219;4.360;2.507;5.245;8.001;3.202;5.662
220;4.490;2.469;4.778;7.613;2.755;4.772
221;4.136;2.280;4.092;6.724;2.474;3.895
222;3.621;2.090;3.936;6.294;2.294;4.224
223;3.746;2.042;4.090;6.716;2.536;4.553
224;4.108;2.331;4.621;7.826;2.777;4.803
225;4.470;2.619;4.696;7.971;2.912;4.976
226;4.712;2.687;4.715;8.114;2.900;5.034
227;4.857;2.752;4.845;8.368;2.887;5.093
228;5.002;2.817;4.948;8.715;2.774;5.042
229;5.050;2.874;4.835;8.580;2.640;4.818
230;4.941;2.843;4.722;8.424;2.505;4.594
231;5.000;2.812;4.609;8.388;2.371;4.370
232;5.070;2.781;4.496;8.384;2.236;4.147
233;4.987;2.750;4.383;8.380;2.101;3.923
234;4.930;2.719;4.268;8.163;1.967;3.699
235;4.972;2.688;4.107;7.880;1.832;3.475
236;4.927;2.657;3.945;7.597;1.698;3.252
237;4.778;2.626;3.784;7.314;1.563;3.027
238;4.629;2.595;3.518;7.031;1.429;2.731
239;4.480;2.526;3.291;6.900;1.294;2.435
240;4.541;2.443;3.416;7.160;1.312;2.289
241;4.769;2.582;3.540;7.421;1.394;2.264
242;4.997;2.905;3.516;7.681;1.345;2.239
243;5.225;3.058;3.460;7.623;1.184;2.099
244;5.453;3.058;3.140;7.055;1.023;1.774
245;5.093;2.903;2.756;6.486;0.862;1.450
246;4.696;2.666;2.674;6.365;0.851;1.286
247;4.607;2.441;2.674;6.365;0.851;1.286
248;4.607;2.441;2.674;6.365;0.851;1.286
249;4.607;2.441;2.674;6.365;0.851;1.286
250;4.607;2.441;2.674;6.365;0.851;1.286
