# This file has been generated by fmt_fig4.py
#
#
# doy: [-] day of year
# hd: [%] Light interception for HD modality
# ld: [%] Light interception for LD modality
#
doy;hd;ld
121;10.98;8.88
135;19.95;19.51
144;23.83;26.98
165;29.93;35.94
168;31.06;31.99
188;40.98;38.52
219;42.90;41.99
245;35.10;35.96
