# This file has been generated by fmt_fig2.py
#
#
# doy: [-] day of year
# hd_obs: [m2] observed leaf area for high density experiment
# hd_sim: [m2] simulated leaf area for high density experiment
# ld_obs: [m2] observed leaf area for low density experiment
# ld_sim: [m2] simulated leaf area for low density experiment
#
doy;hd_obs;hd_sim;ld_obs;ld_sim
90;0.00;0.01;0.00;0.00
91;;0.03;;0.02
92;;0.06;;0.04
93;;0.10;;0.07
94;;0.13;;0.09
95;;0.17;;0.12
96;;0.21;;0.14
97;;0.24;;0.16
98;;0.28;;0.19
99;;0.31;;0.21
100;;0.35;;0.24
101;;0.38;;0.26
102;;0.42;;0.28
103;;0.45;;0.31
104;;0.49;;0.33
105;;0.52;;0.35
106;;0.56;;0.38
107;;0.60;;0.40
108;;0.63;;0.43
109;;0.67;;0.45
110;;0.70;;0.47
111;;0.74;;0.50
112;;0.77;;0.52
113;;0.81;;0.55
114;;0.84;;0.57
115;;0.88;;0.59
116;;0.91;;0.62
117;;0.95;;0.64
118;0.86;0.99;;0.66
119;;1.02;0.56;0.70
120;;1.09;;0.74
121;;1.17;;0.79
122;;1.24;;0.84
123;;1.32;;0.89
124;;1.40;;0.94
125;;1.47;;0.98
126;1.37;1.55;0.83;1.03
127;;1.63;;1.08
128;;1.70;;1.13
129;;1.78;;1.17
130;;1.86;;1.22
131;;1.93;;1.27
132;;2.01;;1.32
133;;2.09;;1.36
134;2.04;2.16;;1.41
135;;2.24;1.34;1.46
136;;2.32;;1.51
137;;2.39;;1.56
138;;2.47;;1.63
139;;2.55;;1.70
140;;2.62;;1.76
141;;2.69;;1.83
142;2.93;2.77;;1.89
143;;2.84;2.23;1.96
144;;2.92;;2.03
145;;2.99;;2.09
146;;3.06;;2.16
147;;3.14;;2.23
148;;3.21;;2.30
149;;3.29;;2.37
150;;3.36;;2.45
151;;3.43;;2.52
152;;3.51;;2.59
153;;3.56;;2.66
154;3.81;3.62;;2.74
155;;3.67;2.92;2.81
156;;3.73;;2.88
157;;3.78;;2.96
158;;3.84;;3.05
159;;3.90;;3.13
160;;3.95;;3.22
161;;4.01;;3.31
162;;4.06;;3.39
163;;4.12;;3.48
164;;4.17;;3.57
165;;4.23;;3.65
166;;4.28;;3.74
167;4.70;4.34;;3.82
168;;4.39;3.68;3.79
169;;4.42;2.67;3.01
170;;4.45;;2.82
171;;4.48;;2.86
172;;4.52;;2.89
173;;4.55;;2.93
174;;4.58;;2.97
175;;4.61;;3.01
176;;4.64;;3.05
177;;4.67;;3.08
178;;4.70;;3.12
179;;4.74;;3.16
180;;4.77;;3.20
181;;4.80;;3.24
182;;4.83;;3.27
183;;4.86;;3.31
184;;4.89;;3.35
185;;4.92;;3.39
186;;4.95;;3.42
187;4.71;4.99;;3.46
188;;5.02;3.66;3.50
189;;5.03;;3.52
190;;5.03;;3.54
191;;5.04;;3.56
192;;5.05;;3.59
193;;5.06;;3.61
194;;5.07;;3.63
195;;5.07;;3.65
196;;5.08;;3.68
197;;5.09;;3.70
198;;5.10;;3.72
199;;5.11;;3.74
200;;5.11;;3.77
201;;5.12;;3.79
202;;5.13;;3.81
203;;5.14;;3.83
204;;5.15;;3.85
205;;5.15;;3.88
206;;5.16;;3.90
207;;5.17;;3.92
208;;5.18;;3.94
209;;5.19;;3.97
210;;5.19;;3.99
211;;5.20;;4.01
212;;5.21;;4.03
213;;5.22;;4.05
214;;5.23;;4.08
215;;5.23;;4.10
216;4.91;5.24;;4.12
217;;5.25;4.21;4.14
218;;5.24;;4.16
219;;5.23;;4.18
220;;5.23;;4.19
221;;5.22;;4.21
222;;5.21;;4.23
223;;5.21;;4.24
224;;5.20;;4.26
225;;5.19;;4.28
226;;5.19;;4.29
227;;5.18;;4.31
228;;5.17;;4.32
229;;5.17;;4.34
230;;5.16;;4.36
231;;5.15;;4.37
232;;5.15;;4.39
233;;5.14;;4.41
234;;5.13;;4.42
235;;5.13;;4.44
236;;5.12;;4.45
237;;5.11;;4.47
238;;5.11;;4.49
239;;5.10;;4.50
240;;5.09;;4.52
241;;5.09;;4.53
242;;5.08;;4.55
243;;5.07;;4.57
244;;5.07;;4.58
245;5.30;5.06;4.48;4.60
246;;5.06;;4.61
247;;5.06;;4.61
248;;5.06;;4.61
249;;5.06;;4.61
