# This file has been generated by fmt_fig10.py
#
#
# doy: [-] day of year
# hd: [gDM.plant-1] Simulated evolution of dry matter for HD modality
# ld: [gDM.plant-1] Simulated evolution of dry matter for LD modality
#
doy;hd;ld
90;0.00;0.00
91;0.00;0.00
92;0.00;0.00
93;0.00;0.00
94;0.00;0.00
95;0.00;0.00
96;0.00;0.00
97;0.04;0.00
98;0.34;0.00
99;0.63;0.00
100;0.99;0.00
101;1.59;0.00
102;2.19;0.00
103;2.79;0.00
104;3.39;0.00
105;4.05;0.00
106;5.06;0.00
107;6.06;0.00
108;7.07;0.00
109;8.08;0.00
110;9.09;0.00
111;10.52;0.00
112;12.11;0.00
113;13.70;0.22
114;15.29;0.99
115;16.88;1.76
116;18.81;2.53
117;21.29;3.30
118;23.77;4.08
119;26.25;4.85
120;28.73;5.62
121;31.95;7.19
122;35.97;9.82
123;39.99;12.44
124;44.01;15.07
125;48.92;17.69
126;55.29;20.32
127;61.65;22.94
128;68.01;25.57
129;75.16;30.04
130;83.06;38.44
131;90.96;46.84
132;98.86;55.24
133;106.97;63.64
134;115.91;72.04
135;124.85;80.44
136;133.79;88.84
137;142.73;99.01
138;152.18;109.30
139;161.89;119.59
140;171.60;129.88
141;181.30;140.17
142;191.11;150.46
143;201.44;160.75
144;211.77;171.04
145;222.10;181.33
146;232.43;191.62
147;243.26;202.82
148;254.15;214.17
149;265.04;225.52
150;276.00;236.87
151;287.48;248.22
152;298.97;259.57
153;310.50;270.92
154;322.85;282.27
155;335.19;293.62
156;348.30;305.55
157;361.48;318.70
158;374.67;331.85
159;387.87;344.99
160;401.07;358.14
161;414.27;371.29
162;427.47;388.32
163;440.67;408.17
164;453.87;428.80
165;467.07;452.26
166;480.26;474.89
167;493.45;495.02
168;506.63;514.69
169;519.79;528.05
170;532.96;541.41
171;546.11;554.76
172;559.24;567.91
173;572.37;581.05
174;585.44;594.20
175;598.51;607.35
176;613.25;620.50
177;628.55;634.21
178;645.05;648.66
179;663.00;663.11
180;680.95;677.56
181;699.80;692.01
182;719.05;706.46
183;738.31;720.91
184;757.93;735.36
185;777.73;749.58
186;797.54;763.58
187;817.33;777.58
188;837.11;791.59
189;856.88;805.59
190;876.22;819.60
191;895.28;833.60
192;914.34;847.60
193;931.47;858.27
194;948.58;868.89
195;960.65;879.52
196;967.84;890.14
197;973.71;900.49
198;989.95;910.49
199;1011.08;920.48
200;1032.33;930.74
201;1053.01;945.93
202;1073.62;961.11
203;1094.15;976.30
204;1114.72;991.49
205;1135.38;1007.08
206;1156.04;1023.85
207;1176.68;1040.62
208;1197.31;1057.39
209;1217.94;1074.16
210;1238.53;1090.90
211;1259.00;1107.62
212;1279.48;1124.35
213;1299.96;1141.07
214;1320.16;1157.81
215;1340.35;1174.54
216;1360.54;1191.92
217;1380.33;1209.37
218;1400.00;1226.19
219;1419.67;1242.11
220;1438.35;1258.03
221;1456.97;1269.37
222;1473.43;1280.69
223;1487.77;1293.98
224;1503.37;1307.44
225;1528.43;1323.61
226;1555.86;1341.71
227;1578.15;1359.81
228;1597.63;1377.77
229;1615.54;1395.63
230;1633.41;1413.49
231;1650.62;1429.86
232;1667.84;1443.31
233;1684.88;1456.77
234;1701.68;1468.53
235;1718.48;1478.61
236;1735.13;1488.69
237;1751.61;1498.92
238;1768.09;1510.06
239;1784.42;1521.19
240;1800.57;1532.33
241;1816.72;1543.47
242;1832.61;1555.02
243;1848.34;1566.59
244;1863.91;1578.15
245;1878.86;1589.80
246;1887.12;1601.58
247;1887.12;1602.29
248;1887.12;1602.29
249;1887.12;1602.29
