0,1,2,3,4,template
0,,,,,RAS
0.75,,,,,Alerte durant toute la période de surveillance. {B0_val}.|La zone est en alerte durant toute la période de surveillance. {B0_val}.|Risque sur toute la période. {B0_val}.
1,,,,,Alerte durant toute la période de surveillance. {B0_val}.|La zone est en alerte durant toute la période de surveillance. {B0_val}.|Risque sur toute la période. {B0_val}.
0,0.75,,,,Alerte à partir de {B1_start}. {B1_val}.|Risque à partir de {B1_start}. {B1_val}.
0,1,,,,Alerte à partir de {B1_start}. {B1_val}.|Risque à partir de {B1_start}. {B1_val}.
0.75,0,,,,Alerte jusqu’à {B0_stop}. {B0_val}.|La zone est en alerte jusqu'à {B0_stop}. {B0_val}.|Risque jusqu'à {B0_stop}. {B0_val}.
0.75,1,,,,Zone en alerte sur toute la période. Le niveau d’alerte maximal est atteint à partir de {B1_start}. {B1_val}.|Risque sur toute la période. {B0_val}. Le risque maximal est atteint à partir de {B1_start}. {B1_val}.
1,0,,,,Zone en alerte jusqu’à {B0_stop}. {B0_val}.|Risque jusqu'à {B0_stop}. {B0_val}.
1,0.75,,,,"Alerte maximale dès le début de période. {B0_val}. Amélioration à partir de {B1_start}. {B1_val}.|Risque sur toute la période, maximal {B0_period}. {B0_val}. Amélioration ensuite. {B1_val}."
0,0.75,0,,,Zone en alerte {B1_period}. {B1_val}.|Risque {B1_period}. {B1_val}.
0,0.75,1,,,Alerte dès {B1_start}. {B1_val}. Le niveau d’alerte maximal est atteint à partir de {B2_start}. {B2_val}.|Risque à partir de {B1_start}. {B1_val}. Risque maximal à partir de {B2_start}. {B2_val}.
0,1,0,,,Zone en alerte {B1_period}. {B1_val}.|Risque {B1_period}. {B1_val}.
0,1,0.75,,,Alerte maximale {B1_period}. {B1_val}. Atténuation par la suite. {B2_val}.|Risque maximal {B1_period}. {B1_val}. Amélioration ensuite. {B2_val}.
0.75,0,0.75,,,Zone en alerte {B0_period} ainsi que {B2_period}. {level_int_val}. |Zone en alerte jusqu’à {B0_stop}. {B0_val}. Puis à nouveau à partir de {B2_start}. {B2_val}.|Risque jusqu'à {B0_stop}. Nouveau risque à partir de {B2_start}. {level_int_val}.
0.75,0,1,,,Alerte jusqu’à {B0_stop}. {B0_val}. Puis nouvelle alerte à partir de {B2_start}. {B2_val}.|Risque jusqu'à {B0_stop}. {B0_val}. Nouveau risque à partir de {B2_start}. {B2_val}.
0.75,1,0,,,"Alerte jusqu'à {B1_stop}, avec alerte maximale à partir de {B1_start}. {B1_val}.|Risque jusqu'à {B1_stop}, avec risque maximal à partir de {B1_start}. {B1_val}."
0.75,1,0.75,,,"Alerte durant toute la période. L’alerte est maximale {B1_period}. {B1_val}.|Risque sur toute la période, maximal {B1_period}. {B1_val}."
1,0,0.75,,,"Alerte jusqu’à {B0_stop}. {B0_val}. Puis nouvelle alerte, mais de niveau moindre, à partir de {B2_start}. {B2_val}.|Risque jusqu'à {B0_stop}. {B0_val}. Nouveau risque à partir de {B2_start}. {B2_val}."
1,0,1,,,Zone en alerte {B0_period} ainsi que {B2_period}. {level_max_val}. |Zone en alerte jusqu’à {B0_stop}. {B0_val}. Puis à nouveau à partir de {B2_start}. {B2_val}.|Risque jusqu'à {B0_stop}. Nouveau risque à partir de {B2_start}. {level_max_val}.
1,0.75,0,,,Zone en alerte maximale jusqu’à {B0_stop}. {B0_val}. Fin d’alerte {B1_stop}.|Risque maximal jusqu’à {B0_stop}. {B0_val}. Fin du risque {B1_stop}.
1,0.75,1,,,Zone en alerte durant toute la période. L’alerte est maximale {B0_period} ainsi que {B2_period}. {level_max_val}.|Risque sur toute la période. {level_max_val}.
0,0.75,0,0.75,,Zone en alerte {B1_period} ainsi que {B3_period}. {level_int_val}.|Alerte {B1_period}. {B1_val}. Nouvelle alerte à partir de {B3_start}. {B3_val}.|Risque {B1_period}. Nouveau risque à partir de {B3_start}. {level_int_val}.
0,0.75,0,1,,Alerte {B1_period}. {B1_val}. Nouvelle alerte à partir de {B3_start}. {B3_val}.|Risque {B1_period}. {B1_val}. Nouveau risque à partir de {B3_start}. {B3_val}.
0,0.75,1,0,,"Zone en alerte à partir de {B1_start}. {B1_val}. L’alerte devient maximale {B2_period}, puis cesse. {B2_val}."
0,0.75,1,0.75,,Zone en alerte à partir de {B1_start}. L’alerte est maximale {B2_period}. {B2_val}.|Risque à partir de {B1_start}. {level_int_val}. Risque maximal {B2_period}. {B2_val}.
0,1,0,0.75,,"Zone en alerte {B1_period}. {B1_val}. Nouvelle alerte, de niveau moindre, à partir de {B3_start}. {B3_val}.|Risque {B1_period}. {B1_val}. Nouveau risque à partir de {B3_start}. {B3_val}."
0,1,0,1,,Zone en alerte {B1_period} ainsi que {B3_period}. {level_max_val}.|Alerte {B1_period}. {B1_val}. Nouvelle alerte à partir de {B3_start}. {B3_val}.|Risque {B1_period}. Nouveau risque à partir de {B3_start}. {level_max_val}.
