# This file has been generated by fmt_table3.py
#
# texture: texture denomination
# clay: [%] clay fraction in weight
# density: [g.cm-3] matric density
# k_sat: [mm.h-1] saturated conductivity
# ru: [%] plant water availability
# sand: [%]  sand fraction in weight
# theta_fc: [%] soil moisture at -0.033 [MPa]
# theta_pwp: [%] soil moisture at -1.5 [MPa]
# theta_sat: [%] soil moisture at -0. [MPa]
#
texture;clay;density;k_sat;ru;sand;theta_fc;theta_pwp;theta_sat
C;50;1.33;1.10;12;25;42;30;50
CL;35;1.39;4.30;14;30;36;22;48
L;20;1.43;15.50;14;40;28;14;46
LSa;5;1.43;96.70;7;80;12;5;46
Sa;5;1.43;108.10;5;88;10;5;46
SaC;40;1.47;1.40;11;50;36;25;44
SaCL;25;1.50;11.30;10;60;27;17;43
SaL;10;1.46;50.30;10;65;18;8;45
Si;5;1.38;22.00;25;10;30;6;48
SiC;45;1.26;3.70;14;10;41;27;52
SiCL;35;1.30;5.70;17;10;38;22;51
SiL;15;1.38;16.10;20;20;31;11;48
