# This file has been generated by fmt_table1.py
#
# tree: [-] name of observed tree
# dm_nr: [g DM] dry mass of new root
# dm_or: [g DM] dry mass of old root
# dm_ow: [g DM] dry mass of old wood
# dm_s: [g DM] mean stem weight
# nb_fruit: [#] mean number of fruits per unit
# nb_ls: [#] mean number of long shoots per unit
# nb_ms: [#] mean number of medium shoots per unit
# nb_ss: [#] mean number of short shoots per unit
# nb_unit: [#] number of production units
#
tree;dm_nr;dm_or;dm_ow;dm_s;nb_fruit;nb_ls;nb_ms;nb_ss;nb_unit
fuji_0;36.50;125.40;534.20;0.21;0.18;0.08;0.38;2.34;171
fuji_1;93.30;298.00;1237.00;0.33;0.23;0.11;0.48;2.83;361
fuji_2;61.00;218.50;926.90;0.23;0.30;0.10;0.37;2.36;288
fuji_3;94.10;275.40;1145.20;0.25;0.20;0.09;0.39;2.40;438
