# This file has been generated by fmt_fig4.py
#
#
# doy: [-] day of year
# photo: [g C.day-1] simulated whole plant photosynthesis
# cpt_dm: [g DM] amount of dry mass in compartment cpt
# cpt_growth_demand: [g DM.day-1] amount of carbon asked for growth for compartment cpt
#
doy;fruit_dm;fruit_growth_demand;leafy_shoot_dm;leafy_shoot_growth_demand;photo;root_dm;root_growth_demand;wood_dm;wood_growth_demand
98;12.67;3.21;325.94;29.26;14.76;275.49;1.36;999.71;1.36
99;13.57;3.15;337.86;27.40;14.90;275.66;1.33;999.64;1.30
100;14.48;2.68;362.41;23.33;15.18;276.84;1.11;999.30;1.10
101;15.38;2.11;386.97;21.71;17.51;278.02;0.90;998.97;0.90
102;16.28;1.31;411.52;12.39;19.83;279.21;0.69;998.63;0.53
103;18.73;1.89;436.08;13.22;20.05;280.39;0.47;998.30;0.52
104;21.50;2.50;456.28;16.76;12.20;281.57;0.57;997.97;0.76
105;24.26;2.34;464.18;20.27;12.52;283.25;0.75;997.63;1.01
106;27.03;2.88;496.28;15.04;21.91;285.11;0.93;997.30;1.25
107;29.80;3.62;535.76;27.67;23.73;286.96;2.53;997.01;1.49
108;32.56;4.35;575.25;28.42;24.90;288.82;2.91;997.73;1.74
109;35.33;4.24;614.73;26.16;28.80;290.68;3.29;998.46;1.77
110;38.10;4.93;654.22;24.21;29.45;293.22;3.68;999.19;1.70
111;40.86;6.21;693.70;28.80;27.71;295.84;4.91;999.92;2.05
112;43.63;7.55;733.19;28.40;29.12;298.47;6.55;1000.65;2.49
113;46.40;8.93;772.68;36.95;29.97;301.09;8.97;1001.37;3.42
114;49.16;10.23;812.16;33.92;34.61;304.21;11.27;1002.10;4.31
115;51.93;7.73;851.65;20.90;34.80;307.71;7.76;1002.83;3.38
116;55.07;5.54;878.25;14.64;29.71;311.21;5.03;1004.50;2.45
117;60.34;4.82;904.41;16.71;37.54;314.71;5.55;1006.18;2.02
118;65.60;4.78;930.58;17.55;38.03;318.93;5.34;1007.86;1.99
119;70.87;4.03;956.74;17.18;20.95;323.44;4.51;1009.55;1.47
120;76.14;4.88;982.91;21.77;22.23;327.95;6.53;1011.23;2.02
121;81.41;5.69;1016.55;24.34;38.49;332.81;7.46;1012.91;2.31
122;86.68;6.39;1052.39;23.14;37.39;338.47;8.38;1014.60;2.57
123;91.95;7.09;1088.24;26.04;34.07;344.14;9.31;1016.49;2.83
124;97.21;7.79;1124.09;25.97;32.54;350.20;10.23;1019.07;3.10
125;102.48;7.39;1159.94;25.18;41.39;357.19;10.57;1021.66;3.31
126;107.75;6.13;1195.78;19.74;42.18;364.17;8.94;1024.24;2.84
127;113.02;6.26;1231.63;19.74;42.48;372.17;9.20;1026.83;2.61
128;118.29;7.44;1267.48;25.56;41.26;380.65;10.91;1029.42;3.14
129;123.56;8.62;1305.34;29.91;42.06;389.62;12.61;1032.00;3.67
130;129.53;9.79;1343.35;28.28;42.85;399.41;14.31;1034.59;4.18
131;138.79;10.09;1381.35;28.32;42.62;409.19;15.59;1038.02;4.49
132;148.05;10.25;1419.36;26.06;42.62;419.54;15.63;1041.51;4.65
133;157.31;12.02;1453.28;27.37;43.76;429.94;18.00;1045.00;5.11
134;166.57;12.37;1480.85;28.96;45.99;440.34;20.10;1048.49;5.52
135;175.83;12.15;1508.42;25.56;40.19;451.14;19.45;1051.97;5.52
136;185.10;12.95;1535.98;26.19;42.48;461.98;21.00;1055.46;5.83
137;194.36;11.59;1563.55;20.75;47.16;472.81;16.99;1059.23;5.15
138;203.62;9.55;1591.12;19.74;46.56;483.84;14.90;1063.69;4.26
139;212.88;9.28;1619.90;20.07;47.13;495.03;14.38;1068.16;4.18
140;222.14;9.55;1648.78;20.40;47.70;506.23;13.85;1072.63;4.35
141;231.40;11.11;1677.67;24.07;43.26;517.43;15.69;1077.09;5.08
142;240.67;11.23;1706.56;24.24;46.42;528.93;17.06;1081.56;5.48
143;252.83;9.49;1735.45;17.28;45.68;540.48;14.08;1086.52;4.53
144;268.73;9.84;1764.34;16.97;44.17;552.02;13.66;1092.18;4.53
145;284.64;10.59;1786.98;16.91;45.83;563.63;14.59;1097.84;4.92
146;300.55;11.33;1803.58;16.85;48.27;575.55;15.20;1103.49;5.32
147;316.45;10.03;1820.17;14.24;43.97;587.46;12.25;1109.15;4.80
148;332.36;8.89;1836.77;10.25;36.29;599.37;9.85;1115.68;4.27
149;348.27;8.85;1853.36;8.55;48.56;611.54;10.48;1123.05;4.63
150;364.17;10.54;1869.95;8.04;46.73;623.91;10.96;1130.42;5.00
151;380.39;10.55;1886.55;4.36;46.96;636.28;10.65;1137.79;5.09
152;399.83;10.95;1886.30;0.68;45.69;648.74;9.41;1146.64;5.13
153;419.27;12.15;1885.62;0.10;41.90;661.73;9.37;1156.06;5.95
154;438.72;13.34;1884.94;0.10;39.33;674.72;9.34;1165.48;6.76
155;458.16;15.52;1884.25;0.10;46.41;687.24;9.30;1174.91;7.58
156;477.60;14.82;1883.57;0.09;45.16;696.27;7.85;1185.22;7.26
157;497.04;12.43;1882.89;0.09;44.46;705.30;5.75;1195.53;6.43
158;516.49;12.27;1882.21;0.09;42.68;714.33;4.96;1205.84;6.32
159;535.93;12.24;1881.53;0.09;43.72;720.41;4.38;1216.15;6.50
160;555.37;12.77;1880.85;0.09;42.76;725.57;3.80;1226.71;6.94
161;575.42;10.99;1880.16;0.09;38.92;730.73;2.96;1237.55;6.07
162;596.53;8.80;1879.48;0.09;45.21;735.89;1.95;1248.38;5.19
163;617.64;8.64;1878.80;0.09;43.45;741.04;1.90;1259.22;4.79
164;638.75;8.95;1878.12;0.08;41.69;744.47;1.85;1270.06;5.52
165;659.86;12.25;1877.44;0.08;40.55;747.90;1.80;1281.06;6.84
166;680.97;11.88;1876.76;0.08;40.79;751.33;1.75;1292.27;6.61
