# This file has been generated by fmt_table_a3.py
#
# name: name of variable
# ref: Reference for value
# unit: [none]
# value: [unit]
#
name;value;unit;ref
vc_max_c;26.35;[-];Bernacchi (2001)
vc_max_deltaha;65.33;[kJ.mol-1];Bernacchi (2001)
j_max_c;17.70;[-];Bernacchi (2003)
j_max_deltaha;43.90;[kJ.mol-1];Bernacchi (2003)
tpu_c;21.46;[-];Harley (1992)
tpu_deltaha;53.10;[kJ.mol-1];Harley (1992)
rd_c;18.72;[-];Bernacchi (2001)
rd_deltaha;46.39;[kJ.mol-1];Bernacchi (2001)
gamma_star_25;42.75;[µmol.mol-1];Bernacchi (2001)
gamma_star_c;19.02;[-];Bernacchi (2001)
gamma_star_deltaha;37.83;[kJ.mol-1];Bernacchi (2001)
kc_25;404.90;[µmol.mol-1];Bernacchi (2001)
kc_c;38.05;[-];Bernacchi (2001)
kc_deltaha;79.43;[kJ.mol-1];Bernacchi (2001)
ko_25;278.40;[mmol.mol-1];Bernacchi (2001)
ko_c;20.30;[-];Bernacchi (2001)
ko_deltaha;36.38;[kJ.mol-1];Bernacchi (2001)
