# This file has been generated by fmt_fig8.py
#
# date: datetime (standard local time)
# an: [µmol CO2.m-2.s-1] carbon assimilation
# ppfd: [µmol photon.m-2.s-1] PAR energy
# temp: [°C] leaf temperature
# transpi: [mmol H20.m-2.s-1] transpiration
# vpd: [kPa] vapor pressure deficit
#
date;an;ppfd;temp;transpi;vpd
2009-07-18 00:00:00;-0.79;-1.81;27.56;-0.20;1.23
2009-07-18 00:05:00;-0.84;-1.85;27.54;-0.21;1.23
2009-07-18 00:10:00;-0.93;-1.90;27.52;-0.21;1.23
2009-07-18 00:15:00;-1.02;-1.96;27.49;-0.22;1.23
2009-07-18 00:20:00;-1.11;-2.01;27.47;-0.23;1.23
2009-07-18 00:25:00;-1.19;-2.06;27.45;-0.23;1.23
2009-07-18 00:30:00;-1.28;-2.12;27.42;-0.24;1.24
2009-07-18 00:35:00;-1.37;-2.17;27.40;-0.25;1.24
2009-07-18 00:40:00;-1.37;-2.22;27.38;-0.25;1.24
2009-07-18 00:45:00;-1.37;-2.28;27.35;-0.26;1.24
2009-07-18 00:50:00;-1.37;-2.33;27.33;-0.27;1.24
2009-07-18 00:55:00;-1.37;-2.39;27.31;-0.27;1.23
2009-07-18 01:00:00;-1.37;-2.44;27.29;-0.28;1.23
2009-07-18 01:05:00;-1.37;-2.49;27.26;-0.29;1.23
2009-07-18 01:10:00;-1.37;-2.55;27.24;-0.29;1.22
2009-07-18 01:15:00;-1.31;-2.60;27.22;-0.30;1.22
2009-07-18 01:20:00;-1.25;-2.65;27.19;-0.31;1.21
2009-07-18 01:25:00;-1.19;-2.71;27.17;-0.31;1.21
2009-07-18 01:30:00;-1.14;-2.76;27.15;-0.32;1.21
2009-07-18 01:35:00;-1.08;-2.81;27.12;-0.33;1.20
2009-07-18 01:40:00;-1.02;-2.87;27.10;-0.33;1.20
2009-07-18 01:45:00;-0.96;-2.92;27.08;-0.34;1.20
2009-07-18 01:50:00;-0.90;-2.97;27.05;-0.35;1.19
2009-07-18 01:55:00;-0.84;-3.03;27.03;-0.35;1.19
2009-07-18 02:00:00;-0.78;-3.08;27.01;-0.36;1.18
2009-07-18 02:05:00;-0.72;-3.13;26.98;-0.37;1.18
2009-07-18 02:10:00;-0.67;-3.19;26.96;-0.37;1.17
2009-07-18 02:15:00;-0.61;-3.24;26.94;-0.38;1.17
2009-07-18 02:20:00;-0.55;-3.30;26.91;-0.39;1.16
2009-07-18 02:25:00;-0.49;-3.35;26.89;-0.39;1.16
2009-07-18 02:30:00;-0.54;-3.40;26.87;-0.40;1.15
2009-07-18 02:35:00;-0.60;-3.46;26.84;-0.41;1.15
2009-07-18 02:40:00;-0.66;-3.51;26.82;-0.41;1.14
2009-07-18 02:45:00;-0.72;-3.56;26.80;-0.42;1.14
2009-07-18 02:50:00;-0.78;-3.62;26.78;-0.43;1.13
2009-07-18 02:55:00;-0.85;-3.67;26.75;-0.43;1.12
2009-07-18 03:00:00;-0.91;-3.72;26.73;-0.44;1.12
2009-07-18 03:05:00;-0.91;-3.78;26.72;-0.45;1.11
2009-07-18 03:10:00;-0.91;-3.83;26.71;-0.45;1.11
2009-07-18 03:15:00;-0.91;-3.88;26.71;-0.46;1.11
2009-07-18 03:20:00;-0.91;-3.94;26.70;-0.47;1.11
2009-07-18 03:25:00;-0.91;-3.99;26.69;-0.47;1.11
2009-07-18 03:30:00;-0.80;-4.04;26.69;-0.48;1.11
