# This file has been generated by fmt_table1.py
#
# component: name of model that is being evaluated
# factor: name of factor used by model
# td_bck: [gdd] before reference point, use specific formula
# td_fwd: [gdd] after reference point, use specific formula
#
component;factor;td_bck;td_fwd
bunch_nb;t_max_ini;15.90;1.27
bunch_nb;rad_ini;10.42;0.14
berry_nb;t_mean_flow;7.08;0.02
berry_nb;rain_tot_flow;10.50;2.69
berry_nb;t_max_ini;7.92;30.37
berry_mass;t_mean_flow;10.02;1.17
berry_mass;rain_tot_flow;13.42;2.92
berry_mass;rad_flow;11.37;11.42
berry_mass;rain_tot_ver;24.78;-13.10
bunch_mass;t_mean_flow;8.49;0.17
bunch_mass;rain_tot_flow;10.50;2.72
bunch_mass;eto_rain_tot_ver;27.60;-13.58
yield;t_max_ini;8.13;12.78
yield;rad_ini;8.12;12.77
yield;t_max_flow;8.49;2.46
yield;eto_rain_tot_ver;27.83;-13.57
