name,param,accum
PRECIP1,PRECIP,1
PRECIP3,PRECIP,3
PRECIP6,PRECIP,6
PRECIP9,PRECIP,9
PRECIP12,PRECIP,12
PRECIP24,PRECIP,24
EAU1,EAU,1
EAU3,EAU,3
EAU6,EAU,6
EAU9,EAU,9
EAU12,EAU,12
EAU24,EAU,24
NEIPOT1,NEIPOT,1
NEIPOT3,NEIPOT,3
NEIPOT6,NEIPOT,6
NEIPOT9,NEIPOT,9
NEIPOT12,NEIPOT,12
NEIPOT24,NEIPOT,24
NEIGE1,NEIGE,1
NEIGE3,NEIGE,3
NEIGE6,NEIGE,6
NEIGE9,NEIGE,9
NEIGE12,NEIGE,12
NEIGE24,NEIGE,24
