# This file has been generated by fmt_fig5.py
#
# hour: number of hour post last irrigation
# anX: [µmol CO2.m-2.s-1] net photosynthesis for leaf X
# gswX: [mol H2O.m-2.s-1] stomata conductance for leaf X
# parX: [µmol photon.m-2.s-1] absorbed PAR for leaf X
# transpiX: [mg.m-2.s-1] transpiration for leaf X
#
hour;an01;an06;an11;an16;gsw01;gsw06;gsw11;gsw16;par01;par06;par11;par16;transpi01;transpi06;transpi11;transpi16
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.330;1.330;1.330;1.330
1;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.330;1.330;1.330;1.330
2;0.001;0.001;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.339;1.339;1.339;1.339
3;0.002;0.002;0.002;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.352;1.352;1.352;1.352
4;0.003;0.003;0.003;0.003;0.000;0.000;0.000;0.000;0.556;0.556;0.556;0.556;1.365;1.365;1.365;1.365
5;0.004;0.004;0.004;0.004;0.000;0.000;0.000;0.000;2.134;2.134;2.134;2.134;1.377;1.377;1.377;1.377
6;0.005;0.005;0.005;0.005;0.007;0.007;0.010;0.012;3.712;3.712;3.712;3.712;1.390;1.390;1.390;1.390
7;1.328;1.418;1.801;2.124;0.050;0.047;0.066;0.084;115.089;110.482;158.317;184.347;7.318;6.899;8.624;10.599
8;2.693;2.877;3.654;4.312;0.090;0.084;0.110;0.117;229.067;219.743;316.546;369.224;15.532;14.533;18.650;23.363
9;3.917;4.228;5.508;6.128;0.115;0.115;0.141;0.150;337.423;306.945;466.501;521.350;19.860;18.405;28.676;31.157
10;4.054;4.284;5.675;6.333;0.116;0.121;0.147;0.163;350.856;321.224;476.736;566.053;19.265;20.035;28.749;33.301
11;4.609;4.598;6.053;6.864;0.123;0.133;0.158;0.175;399.542;394.006;535.441;610.755;20.178;22.946;31.129;36.601
12;6.705;6.510;8.465;9.364;0.157;0.152;0.180;0.197;614.479;576.195;772.462;872.204;34.275;32.476;51.267;53.186
13;7.407;6.631;8.891;10.131;0.150;0.141;0.168;0.185;675.206;595.380;891.590;1096.085;49.154;45.026;62.653;77.490
14;4.979;4.979;7.471;8.204;0.119;0.118;0.149;0.160;452.608;495.498;713.852;842.789;33.141;34.068;53.797;65.145
15;4.454;4.454;5.931;6.376;0.114;0.115;0.139;0.148;393.689;386.830;567.621;589.492;26.192;26.192;37.673;43.563
16;5.318;5.318;6.917;7.453;0.130;0.121;0.157;0.166;482.366;444.758;654.422;721.390;29.074;29.074;42.688;49.211
17;4.583;4.540;6.023;7.286;0.117;0.117;0.136;0.159;445.165;404.855;563.332;723.095;29.587;29.587;38.159;48.784
18;3.214;2.967;4.435;5.455;0.093;0.093;0.108;0.118;328.323;290.526;442.116;493.545;17.588;17.588;28.089;35.359
19;1.832;1.697;2.264;3.366;0.067;0.065;0.078;0.080;194.782;176.197;293.476;266.014;12.557;12.557;16.238;17.173
20;0.515;0.701;0.701;1.277;0.042;0.036;0.044;0.046;85.382;80.318;144.836;131.201;7.526;7.526;9.529;8.860
21;0.011;0.011;0.011;0.011;0.002;0.002;0.002;0.002;0.000;0.000;0.000;0.000;2.495;2.495;2.820;2.712
22;0.009;0.009;0.009;0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.521;1.521;1.521;1.521
23;0.007;0.007;0.007;0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.521;1.521;1.521;1.521
24;0.005;0.005;0.005;0.005;0.000;0.000;0.000;0.000;0.623;0.623;0.623;0.623;1.521;1.521;1.521;1.521
25;0.004;0.004;0.004;0.004;0.000;0.000;0.000;0.000;1.411;1.411;1.411;1.411;1.521;1.521;1.521;1.521
26;0.002;0.002;0.002;0.002;0.000;0.000;0.000;0.000;2.198;2.198;2.198;2.198;1.521;1.521;1.521;1.521
