# This file has been generated by fmt_fig5.py
#
# hour: number of hour post last irrigation
# anX: [µmol CO2.m-2.s-1] net photosynthesis for leaf X
# gswX: [mol H2O.m-2.s-1] stomata conductance for leaf X
# parX: [µmol photon.m-2.s-1] absorbed PAR for leaf X
# transpiX: [mg.m-2.s-1] transpiration for leaf X
#
hour;an01;an06;an11;an16;gsw01;gsw06;gsw11;gsw16;par01;par06;par11;par16;transpi01;transpi06;transpi11;transpi16
27;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.985;2.985;2.985;2.985;1.521;1.521;1.521;1.521
28;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.773;3.773;3.773;3.773;1.521;1.521;1.521;1.521
29;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.560;4.560;4.560;4.560;1.521;1.521;1.521;1.521
30;0.000;0.000;0.000;0.000;0.002;0.002;0.003;0.004;35.531;41.975;54.199;60.068;1.521;1.521;1.521;1.521
31;1.294;1.329;1.635;2.057;0.046;0.048;0.071;0.077;142.087;171.112;226.170;252.606;6.387;7.118;8.463;7.605
32;2.695;2.767;3.403;4.253;0.085;0.082;0.102;0.109;248.643;300.249;398.141;445.143;11.979;13.550;16.440;20.688
33;4.096;4.187;5.198;6.388;0.106;0.108;0.130;0.143;388.201;429.386;570.112;665.628;21.031;21.881;29.712;37.154
34;5.542;5.536;7.012;8.209;0.118;0.120;0.146;0.156;549.530;558.523;764.665;897.616;31.806;31.158;44.495;54.242
35;6.444;6.602;8.340;8.989;0.126;0.127;0.149;0.157;658.901;686.193;968.076;1119.196;42.581;42.037;60.231;71.330
36;6.574;6.370;8.197;8.856;0.123;0.123;0.145;0.151;685.663;707.694;969.756;1107.289;46.213;44.813;65.312;73.520
37;5.407;5.671;6.755;7.592;0.109;0.109;0.123;0.133;572.453;619.303;805.922;919.994;39.851;39.772;53.501;61.836
38;5.053;5.063;6.442;7.142;0.100;0.100;0.117;0.126;548.088;562.030;769.939;885.019;35.443;35.443;48.790;56.015
39;4.700;4.701;5.802;6.724;0.094;0.094;0.109;0.118;523.722;524.972;647.404;850.044;32.166;32.166;44.180;52.275
40;2.995;2.843;3.832;4.611;0.069;0.069;0.085;0.099;329.063;329.905;459.629;586.969;21.036;21.036;28.758;33.648
41;2.604;2.727;3.556;4.004;0.065;0.065;0.081;0.087;294.106;305.655;424.875;479.861;16.451;16.451;23.868;26.858
42;2.299;2.291;3.026;3.470;0.065;0.065;0.078;0.082;257.935;281.406;393.067;416.404;14.198;14.198;21.220;23.625
43;1.524;1.524;1.901;2.137;0.055;0.046;0.058;0.058;166.081;170.903;215.701;252.248;9.974;9.974;14.368;16.161
44;1.331;1.331;1.723;2.128;0.049;0.045;0.057;0.057;154.701;145.190;194.854;249.768;9.371;9.371;11.927;12.945
45;0.011;0.011;0.011;0.011;0.002;0.002;0.003;0.003;16.631;18.320;26.265;24.990;3.054;3.054;3.778;3.876
46;0.010;0.010;0.010;0.010;0.000;0.000;0.000;0.000;3.177;3.177;3.177;3.177;1.538;1.538;1.538;1.538
47;0.009;0.009;0.009;0.009;0.000;0.000;0.000;0.000;2.547;2.547;2.547;2.547;1.560;1.560;1.560;1.560
48;0.008;0.008;0.008;0.008;0.000;0.000;0.000;0.000;1.917;1.917;1.917;1.917;1.582;1.582;1.582;1.582
49;0.007;0.007;0.007;0.007;0.000;0.000;0.000;0.000;1.288;1.288;1.288;1.288;1.604;1.604;1.604;1.604
50;0.006;0.006;0.006;0.006;0.000;0.000;0.000;0.000;0.658;0.658;0.658;0.658;1.625;1.625;1.625;1.625
51;0.005;0.005;0.005;0.005;0.000;0.000;0.000;0.000;0.028;0.028;0.028;0.028;1.647;1.647;1.647;1.647
52;0.004;0.004;0.004;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.669;1.669;1.669;1.669
53;0.004;0.004;0.004;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.691;1.691;1.691;1.691
54;0.003;0.003;0.003;0.003;0.004;0.004;0.004;0.006;21.484;21.963;29.415;34.183;1.847;1.825;1.884;1.867
55;1.072;1.092;1.389;1.584;0.038;0.034;0.038;0.055;151.827;154.994;204.250;235.767;8.931;7.744;10.911;9.980
56;2.146;2.186;2.782;3.172;0.062;0.061;0.070;0.081;282.169;288.025;379.086;438.519;16.014;13.663;19.939;19.758
57;3.219;3.272;4.174;4.760;0.079;0.080;0.094;0.106;412.512;421.056;564.944;709.182;23.098;19.582;28.966;33.078
58;4.351;4.330;5.400;6.119;0.091;0.086;0.103;0.112;592.526;574.945;792.600;979.845;30.181;26.876;38.629;46.399
59;5.189;4.518;5.656;5.988;0.091;0.086;0.098;0.102;810.011;713.631;1020.257;1162.006;41.550;35.263;51.185;59.210
60;4.463;4.528;4.989;5.241;0.087;0.085;0.093;0.099;768.888;761.691;1006.186;1220.908;40.158;37.398;51.860;61.796
61;3.821;3.433;4.313;4.568;0.081;0.079;0.089;0.098;671.340;616.824;927.092;1050.753;33.308;32.780;45.147;53.658
62;3.345;3.177;3.789;4.153;0.071;0.068;0.075;0.081;635.988;643.527;903.794;1045.574;29.852;27.918;40.927;49.381
63;3.267;3.047;3.392;3.738;0.056;0.056;0.060;0.064;684.830;685.612;921.322;1065.208;29.687;27.444;37.682;45.788
64;2.631;2.667;2.995;3.472;0.046;0.046;0.049;0.056;544.553;544.553;774.097;974.445;24.263;23.624;29.806;38.722
65;2.107;2.056;2.486;3.014;0.042;0.041;0.046;0.053;399.367;399.367;592.056;710.556;18.839;18.404;22.063;29.555
66;1.614;1.445;1.976;2.258;0.039;0.036;0.042;0.045;254.180;254.180;391.447;438.501;13.415;13.184;16.051;20.185
67;1.145;0.939;1.145;1.458;0.033;0.033;0.037;0.037;141.493;141.493;190.838;223.191;7.990;7.963;10.038;10.816
68;1.119;0.912;1.119;1.312;0.031;0.031;0.037;0.037;146.754;146.754;187.006;220.986;7.265;7.265;8.227;9.408
69;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;15.044;15.044;18.399;22.420;2.532;2.532;2.701;3.162
70;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.515;1.515;1.515;1.515
71;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.508;1.508;1.508;1.508
72;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.501;1.501;1.501;1.501
73;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.494;1.494;1.494;1.494
74;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.486;1.486;1.486;1.486
75;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.479;1.479;1.479;1.479
76;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.472;1.472;1.472;1.472
77;0.001;0.001;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.465;1.465;1.465;1.465
78;0.068;0.068;0.082;0.108;0.005;0.005;0.006;0.006;12.635;12.358;17.196;17.196;1.457;1.457;1.457;1.457
79;0.586;0.586;0.715;0.943;0.032;0.032;0.036;0.036;105.885;103.814;140.018;140.018;4.043;4.043;4.714;4.629
80;1.104;1.104;1.349;1.561;0.038;0.038;0.040;0.040;199.136;195.271;262.839;262.839;6.684;6.684;8.040;7.869
81;1.623;1.623;1.982;2.167;0.043;0.043;0.047;0.048;302.579;319.953;480.788;507.784;9.325;9.325;11.367;13.199
82;2.093;2.085;2.538;2.761;0.048;0.046;0.053;0.056;489.581;488.416;718.683;820.842;13.762;13.809;18.079;21.202
83;2.286;2.297;2.651;2.805;0.045;0.046;0.050;0.053;651.793;639.585;955.142;1110.737;18.237;17.059;25.472;29.284
84;2.104;2.104;2.245;2.422;0.039;0.039;0.040;0.044;636.151;702.893;955.478;1101.289;17.576;18.686;24.110;28.130
85;1.577;1.577;1.731;2.164;0.033;0.033;0.036;0.038;441.139;499.196;569.782;762.709;14.332;12.531;17.498;19.192
86;1.074;1.074;1.292;1.666;0.032;0.032;0.034;0.037;246.126;249.615;347.514;397.748;9.058;7.460;9.130;10.255
87;0.948;0.948;1.283;1.386;0.031;0.031;0.036;0.038;200.066;206.108;318.121;338.292;5.282;5.628;7.374;7.942
88;0.744;0.744;1.076;1.111;0.031;0.029;0.035;0.035;130.837;128.238;193.671;258.379;3.988;4.063;5.766;5.766
89;0.635;0.635;0.869;0.869;0.029;0.029;0.032;0.032;120.733;103.078;155.187;179.873;3.579;3.579;4.884;4.884
90;0.531;0.531;0.944;0.944;0.028;0.028;0.033;0.033;109.471;98.567;168.880;177.245;3.513;3.513;4.900;4.900
91;0.675;0.447;0.696;0.696;0.027;0.027;0.029;0.029;78.884;79.179;118.338;118.338;3.446;3.446;4.074;4.074
92;0.507;0.447;0.686;0.686;0.026;0.026;0.029;0.029;72.814;72.814;99.929;99.929;3.380;3.380;4.074;4.074
93;0.030;0.030;0.044;0.044;0.000;0.000;0.000;0.000;2.374;2.374;2.374;2.374;1.694;1.694;1.802;1.802
94;0.003;0.003;0.003;0.003;0.000;0.000;0.000;0.000;2.374;2.374;2.374;2.374;1.457;1.457;1.457;1.457
95;0.003;0.003;0.003;0.003;0.000;0.000;0.000;0.000;2.374;2.374;2.374;2.374;1.457;1.457;1.457;1.457
96;0.003;0.003;0.003;0.003;0.000;0.000;0.000;0.000;2.374;2.374;2.374;2.374;1.457;1.457;1.457;1.457
97;0.003;0.003;0.003;0.003;0.000;0.000;0.000;0.000;2.374;2.374;2.374;2.374;1.457;1.457;1.457;1.457
98;0.003;0.003;0.003;0.003;0.000;0.000;0.000;0.000;2.374;2.374;2.374;2.374;1.457;1.457;1.457;1.457
99;0.003;0.003;0.003;0.003;0.000;0.000;0.000;0.000;2.374;2.374;2.374;2.374;1.457;1.457;1.457;1.457
100;0.003;0.003;0.003;0.003;0.000;0.000;0.000;0.000;2.374;2.374;2.374;2.374;1.457;1.457;1.457;1.457
101;0.003;0.003;0.003;0.003;0.000;0.000;0.000;0.000;2.374;2.374;2.374;2.374;1.457;1.457;1.457;1.457
102;0.047;0.047;0.067;0.070;0.005;0.005;0.008;0.008;8.630;8.630;9.934;11.815;1.462;1.462;1.463;1.464
103;0.683;0.683;0.942;0.949;0.025;0.025;0.032;0.033;141.385;141.385;170.368;212.165;3.620;3.620;4.195;4.751
104;1.085;1.085;1.232;1.434;0.031;0.031;0.033;0.035;274.139;274.139;330.802;412.515;5.777;5.777;6.927;7.950
105;1.331;1.331;1.521;1.631;0.032;0.032;0.035;0.037;384.206;384.206;491.236;562.791;7.808;7.808;9.659;10.739
106;1.175;1.175;1.389;1.482;0.031;0.031;0.034;0.035;337.360;337.360;471.708;536.338;7.100;7.100;8.838;9.942
107;1.121;1.121;1.269;1.387;0.030;0.030;0.033;0.033;304.243;304.646;430.212;484.658;6.392;6.392;7.883;8.850
108;1.031;1.031;1.210;1.370;0.028;0.029;0.031;0.032;251.439;295.781;388.716;434.613;5.684;5.684;7.269;8.512
109;0.834;0.834;0.995;1.110;0.027;0.027;0.029;0.029;181.296;200.570;238.151;283.223;5.350;5.350;6.655;6.736
110;0.719;0.719;0.880;0.998;0.026;0.026;0.029;0.028;154.925;142.832;197.427;243.542;5.169;5.169;6.385;6.385
111;0.745;0.745;1.032;1.027;0.027;0.027;0.028;0.028;171.094;169.947;255.165;259.160;5.479;5.479;6.427;6.427
112;0.964;0.964;1.132;1.244;0.027;0.027;0.031;0.031;274.613;274.159;375.195;427.009;5.435;5.435;7.718;7.718
113;0.958;0.958;1.111;1.182;0.027;0.027;0.030;0.030;284.717;251.613;379.919;398.474;4.898;4.898;7.148;7.476
114;0.737;0.737;0.827;1.031;0.026;0.026;0.028;0.028;192.380;183.087;269.883;291.005;4.498;4.498;6.134;6.323
115;0.591;0.591;0.591;0.829;0.025;0.025;0.026;0.026;108.653;108.653;155.711;183.536;4.422;4.422;5.287;5.287
116;0.533;0.533;0.533;0.752;0.020;0.020;0.026;0.026;111.409;111.409;153.100;178.292;4.346;4.346;5.194;5.194
117;0.037;0.037;0.037;0.044;0.000;0.000;0.001;0.001;3.761;3.761;3.761;3.761;2.190;2.190;2.249;2.249
118;0.016;0.016;0.016;0.016;0.000;0.000;0.000;0.000;3.916;3.916;3.916;3.916;1.388;1.388;1.388;1.388
119;0.014;0.014;0.014;0.014;0.000;0.000;0.000;0.000;4.070;4.070;4.070;4.070;1.381;1.381;1.381;1.381
120;0.011;0.011;0.011;0.011;0.000;0.000;0.000;0.000;4.225;4.225;4.225;4.225;1.374;1.374;1.374;1.374
121;0.008;0.008;0.008;0.008;0.000;0.000;0.000;0.000;4.379;4.379;4.379;4.379;1.366;1.366;1.366;1.366
122;0.005;0.005;0.005;0.005;0.000;0.000;0.000;0.000;4.534;4.534;4.534;4.534;1.359;1.359;1.359;1.359
123;0.003;0.003;0.003;0.003;0.000;0.000;0.000;0.000;4.688;4.688;4.688;4.688;1.352;1.352;1.352;1.352
124;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.843;4.843;4.843;4.843;1.344;1.344;1.344;1.344
125;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.997;4.997;4.997;4.997;1.337;1.337;1.337;1.337
126;0.032;0.036;0.040;0.059;0.004;0.004;0.005;0.005;25.466;33.714;41.477;44.610;1.379;1.379;1.395;1.400
127;0.524;0.586;0.650;0.905;0.025;0.025;0.028;0.028;132.884;184.684;233.438;253.119;3.356;3.356;4.003;4.179
128;1.016;1.016;1.101;1.180;0.026;0.026;0.028;0.028;240.302;335.654;425.400;461.627;5.332;5.332;6.611;7.877
129;1.035;1.035;1.183;1.287;0.024;0.024;0.026;0.026;413.827;486.624;619.070;670.136;6.807;6.807;8.040;9.478
130;1.052;1.052;1.153;1.243;0.023;0.023;0.024;0.024;606.356;637.594;831.090;878.644;7.010;7.010;9.216;10.181
131;1.004;1.004;1.103;1.191;0.021;0.021;0.021;0.021;739.053;739.053;1029.138;1087.153;8.269;8.269;10.252;11.971
132;0.830;0.830;0.943;0.950;0.014;0.014;0.016;0.016;737.076;737.076;1069.451;1253.089;7.669;7.669;8.833;11.206
