# This file has been generated by fmt_figs4.py
#
# hour: number of hour post last irrigation
# rg: [µmol photon.m-2.s-1] Total radiation
# swc: [kg.kg-1] soil water content
# t_air: [°C] air temperature
# vpd: [kPa] vapor pressure deficit
#
hour;rg;swc;t_air;vpd
0;0.000;0.349;21.340;0.347
1;0.000;0.349;21.159;0.352
2;0.000;0.348;21.164;0.369
3;0.000;0.348;21.324;0.408
4;2.803;0.348;21.624;0.480
5;80.494;0.348;22.011;0.774
6;311.909;0.346;24.090;0.951
7;636.158;0.342;25.205;0.811
8;955.747;0.339;24.816;0.698
9;971.899;0.335;24.454;0.699
10;1069.946;0.330;24.750;0.938
11;1566.627;0.325;26.699;1.292
12;1837.340;0.317;28.414;1.208
13;1402.866;0.311;28.127;0.938
14;1138.205;0.307;27.079;0.967
15;1306.475;0.302;27.470;1.003
16;1269.823;0.296;27.573;0.880
17;892.065;0.293;26.635;0.877
18;508.510;0.291;26.317;1.035
19;221.107;0.289;26.819;0.928
20;56.502;0.289;25.930;0.646
21;3.173;0.289;24.314;0.525
22;0.000;0.289;23.128;0.433
23;0.000;0.289;22.483;0.378
24;0.000;0.288;21.983;0.338
25;0.000;0.288;21.649;0.313
26;0.000;0.288;21.171;0.290
27;0.000;0.287;20.803;0.281
28;10.382;0.287;20.536;0.332
29;116.240;0.287;21.166;0.602
30;361.347;0.286;23.446;0.829
31;711.201;0.283;24.746;0.934
32;1102.988;0.278;24.947;1.129
33;1692.052;0.272;25.967;1.285
34;1968.831;0.263;27.379;1.372
35;2052.217;0.255;28.059;1.444
36;1757.389;0.251;28.752;1.476
37;1623.692;0.243;28.980;1.443
38;1517.465;0.236;28.752;1.297
39;1055.153;0.234;27.971;1.194
40;880.076;0.230;27.616;1.138
41;800.644;0.226;27.257;1.122
42;469.916;0.224;26.639;1.387
43;203.774;0.223;26.859;1.496
44;45.541;0.222;26.528;1.387
45;0.000;0.222;25.172;1.254
46;0.000;0.222;24.079;1.077
47;0.000;0.221;23.236;0.920
48;0.000;0.221;22.513;0.760
49;0.000;0.221;21.967;0.657
50;0.000;0.221;21.345;0.555
51;0.000;0.220;20.897;0.496
52;15.478;0.220;20.444;0.572
53;121.562;0.219;21.149;0.936
54;368.038;0.217;23.555;1.071
55;697.758;0.215;25.399;0.990
56;1151.439;0.211;25.786;1.153
57;1657.775;0.204;27.450;1.482
58;2076.761;0.198;29.205;1.333
59;2225.329;0.190;30.924;1.093
60;1950.739;0.182;31.980;1.285
61;1836.605;0.178;32.349;1.795
62;1935.046;0.173;32.537;1.923
63;1639.894;0.169;32.118;1.721
64;1255.726;0.165;31.325;1.549
65;856.156;0.163;30.606;1.288
66;443.145;0.162;29.302;1.083
67;122.492;0.162;27.853;1.090
68;17.683;0.161;27.957;0.969
69;0.479;0.161;27.556;0.748
70;0.000;0.161;26.499;0.564
71;0.000;0.160;24.788;0.399
72;0.000;0.160;23.790;0.408
73;0.000;0.160;23.474;0.418
74;0.000;0.160;23.246;0.378
75;0.000;0.160;22.865;0.396
76;2.686;0.160;22.935;0.477
77;46.391;0.159;23.414;0.676
78;253.853;0.159;24.098;0.871
79;534.850;0.157;25.373;0.873
80;840.745;0.155;25.852;0.935
81;1434.209;0.153;26.399;1.150
82;1838.283;0.150;27.950;1.447
83;2012.176;0.148;29.956;1.405
84;1479.471;0.147;30.024;0.970
85;838.474;0.145;28.526;0.714
86;637.070;0.144;27.323;0.657
87;398.580;0.143;27.356;0.625
88;321.570;0.142;27.588;0.632
89;345.532;0.142;27.475;0.725
90;216.658;0.141;27.184;0.693
91;111.550;0.141;26.039;0.531
92;7.994;0.140;24.660;0.400
93;0.115;0.140;23.890;0.386
94;0.000;0.140;23.480;0.380
95;0.000;0.139;23.058;0.361
96;0.000;0.139;22.706;0.340
97;0.000;0.139;22.110;0.344
98;0.000;0.139;22.027;0.350
99;0.000;0.139;22.250;0.312
100;10.638;0.139;21.925;0.322
101;100.925;0.139;21.726;0.583
102;306.819;0.139;23.430;0.875
103;711.679;0.137;25.759;0.857
104;1086.270;0.136;25.414;0.831
105;964.518;0.135;25.181;0.832
106;877.094;0.133;25.198;0.833
107;821.917;0.132;25.310;0.889
108;558.680;0.131;25.676;1.022
109;395.085;0.131;26.538;1.014
110;456.746;0.130;26.713;0.844
111;732.868;0.129;25.896;0.759
112;788.299;0.129;25.670;0.836
113;527.392;0.128;25.940;0.992
114;334.992;0.128;26.690;1.071
115;162.295;0.127;26.928;0.898
116;43.454;0.127;25.315;0.641
117;0.000;0.127;23.449;0.518
118;0.000;0.126;22.252;0.427
119;0.000;0.126;21.557;0.351
120;0.000;0.126;20.907;0.303
121;0.000;0.126;20.333;0.277
122;0.000;0.126;19.802;0.267
123;0.000;0.126;19.469;0.260
124;15.253;0.126;19.207;0.336
125;163.975;0.125;19.869;0.634
126;401.059;0.125;22.431;0.936
127;756.795;0.124;25.051;0.966
128;1177.677;0.123;24.769;0.935
129;1652.873;0.123;24.543;1.120
130;2138.728;0.122;25.418;1.347
131;2258.893;0.129;26.961;1.354
132;1798.343;0.153;27.452;1.321
