# This file has been generated by fmt_fig8.py
#
#
# doy: [-] day of year
# hd_photo: [gCO2.plant-1.day-1] Simulated photosynthesis for HD modality
# hd_resp: [gCO2.plant-1.day-1] Simulated respiration for HD modality
# ld_photo: [gCO2.plant-1.day-1] Simulated photosynthesis for LD modality
# ld_resp: [gCO2.plant-1.day-1] Simulated respiration for LD modality
#
doy;hd_photo;hd_resp;ld_photo;ld_resp
90;0.19;0.00;0.19;0.06
91;0.24;0.00;0.24;0.09
92;0.29;0.00;0.29;0.13
93;0.33;0.00;0.34;0.16
94;0.38;0.00;0.39;0.20
95;0.43;0.00;0.44;0.23
96;0.48;0.00;0.49;0.27
97;0.53;0.00;0.54;0.30
98;0.58;0.00;0.59;0.34
99;0.62;0.09;0.64;0.37
100;0.67;0.20;0.69;0.41
101;0.72;0.32;0.74;0.48
102;0.77;0.44;0.79;0.55
103;1.10;0.56;0.84;0.62
104;1.45;0.68;0.89;0.70
105;1.53;0.80;0.94;0.77
106;2.28;0.92;0.99;0.84
107;3.19;1.04;1.44;0.91
108;3.50;1.16;2.02;0.99
109;3.46;1.28;2.30;1.06
110;3.28;1.39;2.07;1.15
111;4.57;1.51;2.90;1.26
112;5.50;1.63;3.74;1.38
113;5.77;1.74;4.39;1.49
114;5.56;1.85;3.87;1.61
115;6.41;1.97;4.37;1.72
116;7.26;2.07;4.88;1.83
117;7.98;2.16;5.39;1.95
118;6.17;2.25;4.22;2.09
119;7.78;2.32;5.52;2.25
120;9.38;2.35;6.04;2.41
121;10.98;2.32;8.05;2.57
122;3.69;2.28;4.68;2.73
123;3.84;2.31;4.06;2.88
124;8.03;2.41;6.85;3.06
125;13.95;2.58;11.12;3.27
126;15.49;2.79;12.82;3.47
127;15.26;3.02;13.57;3.67
128;7.84;3.27;4.86;3.88
129;11.54;3.53;8.55;4.10
130;16.06;3.84;13.04;4.34
131;20.26;4.22;16.25;4.58
132;23.20;4.68;19.47;4.82
133;26.14;5.29;22.68;5.07
134;28.16;6.04;25.89;5.33
135;28.68;6.90;27.04;5.56
136;29.20;7.59;28.47;5.76
137;28.82;7.60;29.90;5.93
138;26.85;7.32;25.31;6.02
139;31.31;6.96;30.51;6.10
140;33.22;6.68;33.23;6.15
141;31.15;6.60;30.90;6.19
142;30.01;6.89;26.31;6.22
143;20.67;7.43;24.80;6.25
144;37.61;7.64;38.13;6.28
145;35.30;7.64;35.01;6.31
146;32.68;7.45;32.70;6.37
147;29.13;7.16;29.53;6.48
148;41.55;7.44;42.08;6.71
149;41.38;8.04;42.68;7.30
150;40.43;9.03;41.69;8.20
151;40.79;10.22;42.76;9.10
152;40.86;11.08;42.89;9.70
153;40.35;11.12;44.99;9.84
154;33.07;10.51;34.41;9.70
155;33.97;10.09;36.04;9.44
156;27.43;9.95;27.31;9.16
157;32.88;9.96;36.85;8.99
158;36.27;10.11;40.01;9.00
159;37.66;10.41;43.17;9.24
160;34.96;10.97;39.84;9.81
161;46.19;11.61;53.70;10.74
162;49.32;12.37;53.65;11.92
163;48.70;13.18;51.71;13.22
164;49.36;14.04;52.41;14.49
165;49.39;14.90;53.16;15.66
166;49.59;15.75;53.36;16.62
167;50.10;16.56;54.20;17.30
168;49.23;17.26;52.99;17.59
169;45.82;17.87;46.96;17.69
170;49.13;18.21;48.73;17.85
171;45.50;18.32;41.48;18.09
172;49.66;18.26;45.08;18.26
173;50.71;18.03;45.80;18.10
174;51.78;17.63;47.04;17.57
175;50.71;17.06;43.84;16.69
176;44.61;16.36;38.61;15.58
177;53.47;15.61;47.98;14.40
178;52.45;14.69;46.52;13.28
179;49.91;12.71;43.94;12.32
180;53.01;12.18;46.55;11.62
181;49.23;12.71;43.07;11.28
182;52.75;13.88;45.58;11.33
183;44.39;14.66;36.80;11.99
