# This file has been generated by fmt_fig8.py
#
#
# doy: [-] day of year
# hd_photo: [gCO2.plant-1.day-1] Simulated photosynthesis for HD modality
# hd_resp: [gCO2.plant-1.day-1] Simulated respiration for HD modality
# ld_photo: [gCO2.plant-1.day-1] Simulated photosynthesis for LD modality
# ld_resp: [gCO2.plant-1.day-1] Simulated respiration for LD modality
#
doy;hd_photo;hd_resp;ld_photo;ld_resp
184;51.62;14.49;44.25;12.94
185;57.89;13.05;49.73;12.96
186;53.30;12.34;44.92;11.63
187;49.03;12.76;40.12;10.95
188;60.96;14.36;49.40;11.71
189;60.39;15.89;50.26;13.11
190;57.09;16.45;47.54;14.50
191;58.40;16.32;48.82;15.34
192;59.71;15.26;50.10;15.09
193;57.51;13.56;47.42;14.03
194;51.37;12.19;45.78;12.70
195;35.88;11.76;27.38;11.60
196;20.38;12.00;17.95;11.52
197;42.21;12.43;34.80;12.89
198;58.94;12.93;48.25;14.29
199;59.59;13.35;49.60;14.41
200;64.43;13.53;54.42;13.99
201;64.81;13.57;52.74;14.15
202;58.54;14.01;47.30;15.58
203;63.69;15.15;53.62;16.70
204;59.98;16.50;50.30;17.17
205;56.31;17.06;46.44;13.59
206;61.41;12.89;51.22;13.43
207;66.25;12.07;55.58;13.73
208;66.56;12.78;56.03;14.53
209;65.44;14.53;55.93;15.75
210;61.30;15.48;51.39;16.65
211;61.30;15.19;53.69;16.09
212;53.28;14.21;44.83;15.28
213;48.92;12.79;43.11;14.61
214;59.99;12.86;51.55;14.80
215;55.29;14.52;48.11;16.36
216;55.62;14.70;49.24;16.90
217;58.43;13.70;53.69;16.58
218;58.17;12.52;46.47;15.54
219;65.35;11.41;59.32;14.20
220;60.75;10.54;53.87;12.90
221;42.30;10.06;36.85;11.94
222;26.02;10.15;25.39;11.66
223;43.63;10.88;43.68;12.11
224;61.23;11.86;58.10;12.95
225;63.40;12.51;57.96;13.96
226;60.87;12.78;55.43;14.98
227;60.16;12.80;54.74;15.83
228;59.44;12.67;54.12;16.37
229;58.73;12.45;53.50;16.48
230;58.02;12.19;52.89;16.30
231;55.93;11.92;52.24;16.00
232;50.10;11.61;45.19;15.63
233;50.41;11.31;45.08;15.22
234;49.47;10.99;41.39;14.78
235;40.24;10.67;37.21;14.32
236;50.44;10.36;45.52;13.82
237;44.94;10.07;41.38;13.17
238;36.29;9.79;30.54;12.03
239;46.18;9.61;40.81;11.30
240;40.03;9.63;35.45;11.11
241;42.92;10.22;38.47;12.24
242;46.48;10.77;41.49;12.56
243;43.87;10.31;39.89;12.40
244;41.21;9.71;36.39;11.93
245;43.09;9.05;38.54;11.26
246;34.31;8.36;28.78;10.41
247;33.27;7.67;28.78;9.85
248;33.27;7.67;28.78;9.85
249;33.27;7.67;28.78;9.85
