# This file has been generated by fmt_fig3.py
#
#
# nb_shoot: [#] number of shoots per vine
# la_growth: [cm2.gdd-1] Leaf area formed per degree day
#
nb_shoot;la_growth
13.96;4.27
18.99;3.30
24.93;2.05
26.96;2.56
42.99;1.42
52.01;1.33
54.03;1.27
55.98;1.12
