# This file has been generated by fmt_fig5.py
#
#
# doy: [-] day of year
# hd: [µmol CO2.m-2.s-1] Maximum single leaf photosynthesis for HD modality
# ld: [µmol CO2.m-2.s-1] Maximum single leaf photosynthesis for LD modality
#
doy;hd;ld
119;7.51;6.50
135;9.99;9.77
165;11.39;12.21
169;10.88;13.22
217;11.41;12.99
245;10.38;12.19
